Probe set	Entrez Gene ID	Gene symbol	Cytoband	t	q
220922_s_at	30014, 64663, 64694, 728712	SPANXA1, SPANXC, SPANXB, SPANXA2	Xq27.1	9.776	<0.00001
220921_at	64649	SPANXB	Xq27.1	6.23	<0.00001
203744_at	3149	HMGB3	Xq28	6.024	<0.00001
203262_s_at	9130	FAM50A	Xq28	5.962	<0.00001
220217_x_at	64663	SPANXC	Xq27.1	5.949	<0.00001
202602_s_at	27336	HTATSF1	Xq26.1	5.613	0.000015
224032_x_at	30014, 728712	SPANXA1, SPANXA2	Xq27.1	5.434	0.000015
218668_s_at	57826	RAP2C	Xq25	5.392	0.000015
225383_at	10838	ZNF275	Xq28	5.27	0.000038
225556_at	203547	LOC203547	Xq28	5.136	0.000045
