Symbol	Gene Title	Location	Unigene
PPM1D	Protein phosphatase 1D magnesium-dependent, delta	chr17q23.2	Hs.286073
CDC27	Cell division cycle 27	chr17q12-17q23.2	Hs.463295
SGOL2	Shugoshin-like 2 (S. pombe)	chr2q33.1	Hs.44269
PARD3	Par-3 partitioning defective 3 homolog (Caenorhabditis elegans)	chr10p11.22-p11.21	Hs.131489
KIF25	Kinesin family member 25	chr6q27	Hs.150013
MLL	Mixed-lineage leukemia (trithorax homolog)	chr11q23	Hs.258855
DLG5	Discs, large homolog 5 (Drosophila)	chr10q23	Hs.500245
RBBP6	Retinoblastoma-binding protein 6	chr16p12.2	Hs.188553
CLASP1	Cytoplasmic linker-associated protein 1	chr2q14.2-q14.3	Hs.469840
TFDP2	Transcription factor Dp-2 (E2F partner 2)	chr3q23	Hs.379018
