PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
217475_s_at	LIMK2	protein amino acid phosphorylation /// phosphorylation
217971_at	MAP2K1IP1	---
204524_at	PDPK1	protein amino acid phosphorylation /// protein amino acid phosphorylation /// insulin receptor signaling pathway /// actin cytoskeleton organization and biogenesis
213638_at	PHACTR1	---
206370_at	PIK3CG	G-protein coupled receptor protein signaling pathway
212240_s_at	PIK3R1	intracellular signaling cascade /// intracellular signaling cascade /// insulin receptor signaling pathway /// phosphoinositide phosphorylation /// insulin-like growth factor receptor signaling pathway /// signal transduction
202313_at	PPP2R2A	protein amino acid dephosphorylation /// signal transduction
38447_at	ADRBK1	protein amino acid phosphorylation /// signal transduction /// signal transduction
37996_s_at	DMPK	protein amino acid phosphorylation /// protein amino acid phosphorylation /// muscle contraction /// regulation of heart contraction /// regulation of small GTPase mediated signal transduction /// protein modification
214114_x_at	FASTK	protein amino acid phosphorylation /// apoptosis /// signal transduction /// induction of apoptosis by extracellular signals
202849_x_at	GRK6	protein amino acid phosphorylation /// signal transduction /// regulation of G-protein coupled receptor protein signaling pathway
632_at	GSK3A	protein amino acid phosphorylation /// transcription /// regulation of transcription, DNA-dependent /// regulation of progression through cell cycle /// regulation of transcription from RNA polymerase II promoter /// cell proliferation
221554_at	LYK5	protein amino acid phosphorylation
204813_at	MAPK10	protein amino acid phosphorylation /// signal transduction /// JNK cascade
36907_at	MVK	protein amino acid phosphorylation /// cholesterol biosynthesis /// metabolism /// isoprenoid biosynthesis /// steroid biosynthesis /// isoprenoid biosynthesis /// lipid biosynthesis /// sterol biosynthesis /// phosphorylation
213990_s_at	PAK7	protein amino acid phosphorylation
204284_at	PPP1R3C	---
201314_at	STK25	protein amino acid phosphorylation /// response to oxidative stress /// signal transduction
216451_at	STK38	protein amino acid phosphorylation /// protein kinase cascade /// protein modification /// protein amino acid phosphorylation
