Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +8 and normal
213681_at	CYHR1	8	present at least in one case	present at least in one case
204817_at	ESPL1	8	present at least in one case	present at least in one case
38158_at	ESPL1	8	present at least in one case	present at least in one case
203354_s_at	EFA6R	8pter-p23.3	absent in all cases	absent in all cases
203355_s_at	EFA6R	8pter-p23.3	present at least in one case	present at least in one case
207814_at	DEFA6	8pter-p21	present at least in one case	present at least in one case
207529_at	DEFA5	8pter-p21	present at least in one case	present at least in one case
207271_x_at	SPAG11	8p23-p22	absent in all cases	absent in all cases
211381_x_at	SPAG11	8p23-p22	absent in all cases	absent in all cases
233641_s_at	C8orf13	8p23-p22	absent in all cases	absent in all cases
210884_s_at	SPAG11	8p23-p22	present at least in one case	present at least in one case
210934_at	BLK	8p23-p22	present at least in one case	present at least in one case
216223_at	CPN2	8p23-p22	present at least in one case	present at least in one case
239877_at	MTMR9	8p23-p22	present at least in one case	present at least in one case
206255_at	BLK	8p23-p22	present at least in one case	present at least in one case
226614_s_at	C8orf13	8p23-p22	present at least in one case	present at least in one case
213278_at	MTMR9	8p23-p22	present at least in one case	present at least in one case
204837_at	MTMR9	8p23-p22	present at least in one case	present at least in one case
206115_at	EGR3	8p23-p21	present at least in one case	present at least in one case
230903_s_at	INM01	8p23.3	present at least in one case	absent in all cases
226778_at	INM01	8p23.3	present at least in one case	present at least in one case
242387_at	INM01	8p23.3	present at least in one case	present at least in one case
205826_at	MYOM2	8p23.3	present at least in one case	present at least in one case
232641_at	LOC169270	8p23.3	present at least in one case	present at least in one case
228615_at	LOC286161	8p23.3	present at least in one case	present at least in one case
227016_at	LOC157697	8p23.3	present at least in one case	present at least in one case
225591_at	FBXO25	8p23.3	present at least in one case	present at least in one case
227017_at	LOC157697	8p23.3	present at least in one case	present at least in one case
210397_at	DEFB1	8p23.2-p23.1	present at least in one case	present at least in one case
205033_s_at	DEFA1	8p23.2-p23.1	present at least in one case	present at least in one case
241960_at	CSMD1	8p23.2	absent in all cases	absent in all cases
204301_at	KIAA0711	8p23.2	present at least in one case	present at least in one case
205517_at	GATA4	8p23.1-p22	absent in all cases	absent in all cases
207356_at	DEFB4	8p23.1-p22	absent in all cases	absent in all cases
230855_at	GATA4	8p23.1-p22	absent in all cases	absent in all cases
243692_at	GATA4	8p23.1-p22	present at least in one case	present at least in one case
210950_s_at	FDFT1	8p23.1-p22	present at least in one case	present at least in one case
208647_at	FDFT1	8p23.1-p22	present at least in one case	present at least in one case
214440_at	NAT1	8p23.1-p21.3	present at least in one case	present at least in one case
214839_at	LOC157627	8p23.1	absent in all cases	absent in all cases
216695_s_at	TNKS	8p23.1	absent in all cases	absent in all cases
217121_at	TNKS	8p23.1	absent in all cases	absent in all cases
219592_at	FLJ12847	8p23.1	absent in all cases	absent in all cases
228704_s_at	LOC137075	8p23.1	absent in all cases	absent in all cases
240626_at	C8orf15	8p23.1	absent in all cases	absent in all cases
211148_s_at	ANGPT2	8p23.1	present at least in one case	present at least in one case
228706_s_at	LOC137075	8p23.1	present at least in one case	present at least in one case
228707_at	LOC137075	8p23.1	present at least in one case	present at least in one case
205572_at	ANGPT2	8p23.1	present at least in one case	present at least in one case
235085_at	DKFZp761P0423	8p23.1	present at least in one case	present at least in one case
