Gene	Parametric p-value	Geometric mean expression of Complete response when N= 67	Geometric mean expression of Resistant when N=49
HOXA9	0.0018593	1.1916	6.7887
HOXA10	0.0029629	2.6385	10.8733
HOXC10	0.0039166	0.0038	0.0062
HOXA2	0.0069934	0.7386	1.9623
HOXA3	0.0107461	1.6608	6.4275
EZH2	0.0110635	5.2409	3.2398
HOXA5	0.0121858	0.8373	3.0557
PBX2	0.0125159	16.6704	24.9839
HOXA4	0.0154913	1.0746	3.6190
HOXA7	0.0233704	0.6180	2.2665
MEIS1	0.03015	11.7112	35.7524
HOXD8	0.0483222	0.0036	0.0050
