Affy_ID	Symbol	GenBank ID
224664_at		AK023981
224599_at	CGGBP1	BE501318
221011_s_at	LBH	NM_030915
218684_at	LRRC5	NM_018103
217993_s_at	MAT2B	NM_013283
217947_at	CKLFSF6	NM_017801
217724_at	PAI-RBP1	AF131807
215091_s_at	GTF3A	BE542815
212519_at	UBE2E1	AL518159
212071_s_at	SPTBN1	BE968833
211933_s_at		BE867771
211069_s_at	UBL1	BC006462
207700_s_at	NCOA3	NM_006534
204912_at	IL10RA	NM_001558
204744_s_at	IARS	NM_013417
203445_s_at	OS4	NM_005730
201972_at	ATP6V1A1	AF113129
200978_at	MDH1	NM_005917
200909_s_at	RPLP2	NM_001004
200807_s_at	HSPD1	NM_002156
200726_at	PPP1CC	NM_002710
