GeneName	GeneSymbol	FoldChange	P
Deiodinase, iodothyronine, type 1	DIO1	-4.47	0.0321
Deltex 4 homolog (Drosophila)	DTX4	3.68	0.0111
Uridine diphosphate-N-acetyl-alpha-D-galactosamine	GALNT7	2.07	0.0213
High-mobility group AT-hook 2	HMGA2	3.56	0.0204
Insulin-like growth factor binding protein 6	IGFBP6	3.18	0.016
Metproto-oncogene	MET	2.35	0.0182
Protein S	PROS1	3.97	0.0089
Syndecan4	SDC4	-3.26	0.0049
Serpinpeptidaseinhibitor,cladeA	SERPINA1	5.64	0.0252
Serpinpeptidaseinhibitor,cladeA	SERPINA1	4.81	0.0233
Solutecarrierfamily4	SLC4A4	-4.03	0.0034
TIMPmetallopeptidaseinhibitor1	TIMP1	2.72	0.0446
Uridinephosphorylase1	UPP1	2.25	0.0127
T-celllymphomainvasionandmetastasis1	TIAM1	3.91	0.016
