Gene	Parametric p-value	Geometric mean expression of 11g23 when N=6	Geometric mean expression of other UNFAV when N=39
HOXA1	0.0004773	0.0455	0.3352
MEIS2	0.0008305	0.0113	0.2482
HOXA7	0.002515	10.2789	0.9451
DLX2	0.0036179	0.0060	0.0417
PBX3	0.00449	19.4265	3.2212
HOXA3	0.0095095	21.3938	3.1726
HOXA4	0.0108472	12.6183	1.6817
DLX1	0.0148734	0.0060	0.0268
HOXB9	0.0149367	0.3800	0.0151
HOXA10	0.0176854	23.6011	5.8191
HOXB8	0.0205162	0.1980	0.0116
BMI-1	0.0377268	69.2680	29.6801
PBX2	0.0454577	13.5240	27.0504
