GID	Name
Hs.388347	LOC1433
Hs.208124	ESR1
Hs.524134	GATA3
Hs.159264
Hs.155956
Hs.100686	BCMP11
Hs.210995	CA12
Hs.387057	THSD4
Hs.444709	ARSI
Hs.523468	SCUBE2
Hs.154078	LBP
Hs.131819	SUSD2
Hs.446352	ERBB2
Hs.86859	GRB7
Hs.302740	TRPV6
Hs.135507	EGLN3
Hs.498494	PCSK6
Hs.344400	MPHOSP
Hs.241551	CLCA2
Hs.150749
Hs.163484	FOXA1
Hs.102406	MLPH
Hs.348883	FOXC1
Hs.231320	GPR160
Hs.91109	LOC2221
Hs.2109951	NA
Hs.530009	AGR2
Hs.27373	LOC4004
Hs.524331	OVOS2
Hs.497350	PKP1
