Affy_ID	Symbol	GenBank ID
34210_at	CDW52	N90866
241843_at		AA215701
226831_at	LOC91137	AA928542
225534_at	LOC114926	AV711345
225215_s_at	LOC54516	NM_019041
224880_at	RALA	AV703462
224376_s_at	C20orf24	AF274948
223741_s_at	TTYH2	BC004233
223047_at	CKLFSF6	AF116694
220952_s_at	PEPP2	NM_019012
220560_at	C11orf21	NM_014144
220147_s_at	TERA	NM_021238
218735_s_at	AF020591	AA349848
218290_at	GNRPX	NM_018049
218288_s_at	MDS025	NM_021825
218140_x_at	APMCF1	NM_021203
218088_s_at	GTR2	NM_022157
218048_at	BUP	NM_012071
217957_at	GTL3	NM_013242
216274_s_at	SPC18	N99438
213738_s_at	ATP5A1	AI587323
212788_x_at	FTL	BG537190
212519_at	UBE2E1	AL518159
212371_at		AL049397
212199_at	MGC9651	AL566962
210371_s_at	RBBP4	BC003092
208956_x_at	DUT	U62891
208815_x_at	HSPA4	AB023420
208754_s_at	NAP1L1	AL162068
208667_s_at	ST13	U17714
207812_s_at	GORASP2	NM_015530
205707_at	IL17R	NM_014339
203097_s_at	PDZ-GEF1	NM_014247
202754_at	R3HDM	NM_015361
202544_at	GMFB	NM_004124
202313_at	PPP2R2A	NM_002717
202127_at	PRPF4B	AA156948
202096_s_at	BZRP	NM_000714
201583_s_at	SEC23B	NM_006363
201519_at	TOMM70A	NM_014820
201493_s_at	PUM2	BE778078
201310_s_at	C5orf13	NM_004772
200910_at	CCT3	NM_005998
200020_at	TARDBP	NM_007375
