HELP IDENTIFIER	GENE_SYMBOL
MSPI0406S00001704	GABRD
MSPI0406S00001754	PRKCZ
MSPI0406S00006050	CHD5
MSPI0406S00006054	CHD5
MSPI0406S00006086	RNF207
MSPI0406S00009615	RBP7
MSPI0406S00009802	KIF1B
MSPI0406S00011231	FBXO2
MSPI0406S00013167	KIAA1026
MSPI0406S00016478	IGSF21
MSPI0406S00019591	WNT4
MSPI0406S00020478	HNRPR
MSPI0406S00021209	IL28RA
MSPI0406S00023223	PIGV
MSPI0406S00027575
MSPI0406S00027576
MSPI0406S00028740	GJB3
MSPI0406S00028800	DLGAP3
MSPI0406S00029671	C1orf78
MSPI0406S00029800	MRPS15
MSPI0406S00030581
MSPI0406S00030608	MANEAL
MSPI0406S00031268	C1orf108
MSPI0406S00031537	BMP8A
MSPI0406S00032403	CITED4
MSPI0406S00032704	EDN2
MSPI0406S00033065	FAM80A
MSPI0406S00035966	FOXE3
MSPI0406S00036655	DMRTA2
MSPI0406S00036656	DMRTA2
MSPI0406S00037685	SCP2
MSPI0406S00039986	TACSTD2
MSPI0406S00040254	HOOK1
MSPI0406S00040818	L1TD1
MSPI0406S00043702	GIPC2
MSPI0406S00043750	PTGFR
MSPI0406S00044574	MCOLN3
MSPI0406S00044606	SYDE2
MSPI0406S00044694	CYR61
MSPI0406S00045648	BARHL2
MSPI0406S00046748	ARHGAP29
MSPI0406S00046941	CNN3
MSPI0406S00047328	FLJ35409
MSPI0406S00049427	ALX3
MSPI0406S00050795	PHTF1
MSPI0406S00050958	SYT6
MSPI0406S00050959	SYT6
MSPI0406S00051257	NGFB
MSPI0406S00054394	CA14
MSPI0406S00054412	C1orf51
MSPI0406S00054425	MRPS21
MSPI0406S00055098	TNFAIP8L2
MSPI0406S00055568	OAZ3
MSPI0406S00057234	SHC1
MSPI0406S00057235	SHC1
MSPI0406S00057657	RUSC1
MSPI0406S00058661	C1orf61
MSPI0406S00058662	C1orf61
MSPI0406S00059781	CCDC19
MSPI0406S00059782	CCDC19
MSPI0406S00059880	KCNJ9
MSPI0406S00060861	UHMK1
MSPI0406S00062606	PRRX1
MSPI0406S00062607	PRRX1
MSPI0406S00062872	DNM3
MSPI0406S00063130	ANKRD45
MSPI0406S00064622	C1orf76
MSPI0406S00064623	C1orf76
MSPI0406S00065303	CACNA1E
MSPI0406S00066275	RNF2
MSPI0406S00066943	FAM5C
MSPI0406S00066944	FAM5C
MSPI0406S00068091	ZNF281
MSPI0406S00068489	CACNA1S
MSPI0406S00070367	SOX13
MSPI0406S00071719	C1orf186
MSPI0406S00072804
MSPI0406S00072809	C1orf74
MSPI0406S00074233	PROX1
MSPI0406S00074686	ESRRG
MSPI0406S00074687	ESRRG
MSPI0406S00075279	BPNT1
MSPI0406S00075396	MARK1
MSPI0406S00076075	C1orf65
MSPI0406S00078012	CDC42BPA
MSPI0406S00078480	MRPL55
MSPI0406S00078800	HIST3H2A
MSPI0406S00079297	ACTA1
MSPI0406S00080109	TRIM67
MSPI0406S00080234	EXOC8
MSPI0406S00082225	NID1
MSPI0406S00091103	SOX11
MSPI0406S00092215	KIDINS220
MSPI0406S00094927	FAM84A
MSPI0406S00094930	FAM84A
MSPI0406S00094931	FAM84A
MSPI0406S00096359	SDC1
MSPI0406S00096654	C2orf43
MSPI0406S00096724	APOB
MSPI0406S00100034	FNDC4
MSPI0406S00100667	SPDYA
MSPI0406S00101669	SRD5A2
MSPI0406S00103526	ARL6IP2
MSPI0406S00103668	GALM
MSPI0406S00103855	LOC375196
MSPI0406S00103856	LOC375196
MSPI0406S00105333	PLEKHH2
MSPI0406S00105772	SIX3
MSPI0406S00105773	SIX3
MSPI0406S00106928	KCNK12
MSPI0406S00107352	LHCGR
MSPI0406S00108560	PNPT1
MSPI0406S00110631	HSPC159
MSPI0406S00111859	ANTXR1
MSPI0406S00113402	CYP26B1
MSPI0406S00115080	CTNNA2
MSPI0406S00115210	LRRTM1
MSPI0406S00120043	VWA3B
MSPI0406S00123406	ST6GAL2
MSPI0406S00123407	ST6GAL2
MSPI0406S00127278	C1QL2
MSPI0406S00127525	SCTR
MSPI0406S00128933	TSN
MSPI0406S00129327	CNTNAP5
MSPI0406S00129816
MSPI0406S00130068
MSPI0406S00130284
MSPI0406S00130318
MSPI0406S00132943	GPR39
MSPI0406S00132954	LYPD1
MSPI0406S00134288	NXPH2
MSPI0406S00136939	GALNT5
MSPI0406S00139220	SP5
MSPI0406S00139755	DLX2
MSPI0406S00140506
MSPI0406S00140948	HOXD11
MSPI0406S00140972	HOXD8
MSPI0406S00140974	HOXD8
MSPI0406S00140992	HOXD4
MSPI0406S00141029	HOXD1
MSPI0406S00141030	HOXD1
MSPI0406S00141848	NEUROD1
MSPI0406S00142016	NCKAP1
MSPI0406S00142164	ZNF804A
MSPI0406S00142560	GULP1
MSPI0406S00142715	SLC40A1
MSPI0406S00143267	TMEFF2
MSPI0406S00143751	HECW2
MSPI0406S00144157	BOLL
MSPI0406S00144320	SATB2
MSPI0406S00144321	SATB2
MSPI0406S00144984	ALS2
MSPI0406S00145599	ICA1L
MSPI0406S00146431	NRP2
MSPI0406S00146730	ZDBF2
MSPI0406S00148752	IGFBP5
MSPI0406S00149868	CDK5R2
MSPI0406S00151197	MOGAT1
MSPI0406S00156323	CENTG2
MSPI0406S00157102	IQCA
MSPI0406S00157643	MLPH
MSPI0406S00157716	PRLH
MSPI0406S00161233	FARP2
MSPI0406S00162364	CHL1
MSPI0406S00163315	EDEM1
MSPI0406S00163586	GRM7
MSPI0406S00163833	LMCD1
MSPI0406S00163986	OXTR
MSPI0406S00164306	LHFPL4
MSPI0406S00164491	CAMK1
MSPI0406S00165289	SLC6A11
MSPI0406S00169749	THRB
MSPI0406S00170437	C3orf53
MSPI0406S00170438	C3orf53
MSPI0406S00171644	SUSD5
MSPI0406S00174112	ZNF662
MSPI0406S00174606	ZNF502
MSPI0406S00176974	CELSR3
MSPI0406S00177367	QARS
MSPI0406S00180835	CACNA2D3
MSPI0406S00183276	FEZF2
MSPI0406S00183374	CADPS
MSPI0406S00183754	ADAMTS9
MSPI0406S00184084	MAGI1
MSPI0406S00185386	PROK2
MSPI0406S00186172	PDZRN3
MSPI0406S00188083	EPHA3
MSPI0406S00188712	CPOX
MSPI0406S00189264	ZBTB11
MSPI0406S00189293	LRRIQ2
MSPI0406S00190694	ABHD10
MSPI0406S00191987	C3orf15
