GID	UNIQID	NAME
GENE22X	NM_018437	HEMGN
GENE114X	NM_003249	THOP1
GENE91X	A_NM_007186__Contig33602_RC	CEP2_A
GENE44X	Contig1115_RC	MGC26694
GENE54X	NM_000059	BRCA2
GENE66X	NM_002103	GYS1
GENE47X	A_NM_004112__Contig49632_RC
GENE122X	NM_002301	LDHC
GENE93X	Contig21098_RC	PIAS2
GENE86X	NM_005374	MPP2
GENE27X	NM_014351	SULT4A1
GENE43X	NM_018387	STRBP
GENE26X	NM_001878	CRABP2
GENE36X	NM_003155	STC1
GENE9X	NM_004331	BNIP3L
GENE104X	A_NM_017572__AL137615	MKNK2_A
GENE19X	NM_003670	BHLHB2
GENE18X	NM_017830	OCIA
GENE42X	A_NM_002937__NM_001145	RNASE4_A
GENE8X	NM_004354	CCNG2
GENE12X	A_D26070_NM_002222_Contig36193_RC	ITPR1_A
GENE78X	Contig1386_RC	SEMA4B
GENE108X	AK001590	C14orf132
GENE6X	NM_003793	CTSF
GENE14X	NM_003714	STC2
GENE30X	NM_003979	RAI3
GENE105X	NM_014367	E2IG5
GENE28X	A_NM_002705__Contig34999_RC	PPL_A
GENE57X	A_NM_016335__NM_005974	PRODH_A
GENE63X	Contig44269_RC
GENE23X	AB026436	DUSP10
GENE21X	NM_001823	CKB
GENE117X	NM_005127	CLECSF2
GENE110X	A_NM_001753__AF070648	CAV1_A
GENE58X	A_NM_014795__AF161345	ZFHX1B_A
GENE94X	NM_014883	FAM13A1
GENE70X	A_Contig56270_RC__Contig57076_RC__Contig50592	FBXO32_A
GENE62X	NM_000304	PMP22
GENE87X	A_Contig50565__Contig2710_RC	BHLHB3_A
GENE20X	NM_001386	DPYSL2
GENE103X	A_AK000885__Contig38681_RC__AB007925	FNBP2_A
GENE88X	NM_014646	LPIN2
GENE61X	A_Contig46050__Contig52501_RC__Contig63482_RC__AB018322	KIAA0779_A
GENE50X	AL117635	RTTN
GENE112X	D31885	ARL6IP
GENE90X	NM_000251	MSH2
GENE40X	NM_016485	C6orf55
GENE109X	AL080184	INSIG2
GENE34X	AB037797	ARRDC3
GENE51X	A_NM_018433__AB018285	JMJD1A_A
GENE45X	Y08991	PIK3R4
GENE7X	AB014530	HIPK1
GENE76X	NM_000935	PLOD2
GENE120X	A_NM_006020__Contig30575	ALKBH_A
GENE97X	NM_002543	OLR1
GENE106X	A_NM_017645__Contig42505_RC	FAM29A_A
GENE100X	AB011102	ZNF292
GENE11X	AB018319	KIAA0776
GENE95X	AB018271	DST
GENE32X	Contig45011_RC	KIAA1715
GENE82X	NM_006697	CRA
GENE24X	NM_004861	GAL3ST1
GENE31X	NM_004566	PFKFB3
GENE25X	NM_017817	RAB20
GENE68X	NM_005629	SLC6A8
GENE101X	NM_000598	IGFBP3
GENE85X	NM_002610	PDK1
GENE96X	Contig38674_RC	EGLN3
GENE81X	NM_003467	CXCR4
GENE77X	A_NM_000602__M16006	SERPINE1_A
GENE17X	A_NM_006516_Contig40184	SLC2A1_A
GENE1X	NM_002317	LOX
GENE80X	NM_006931	SLC2A3
GENE5X	NM_019058	DDIT4
GENE41X	NM_005566	LDHA
GENE67X	NM_004207	SLC16A3
GENE49X	A_NM_006096__Contig27182_RC	NDRG1_A
GENE121X	NM_016109	ANGPTL4
GENE38X	D25328	PFKP
GENE107X	NM_001216	CA9
GENE92X	NM_001124	ADM
GENE115X	A_S81916__NM_000291	PGK1_A
GENE55X	NM_001122	ADFP
GENE111X	NM_000302	PLOD
GENE2X	NM_004199	P4HA2
GENE73X	NM_000175	GPI
GENE3X	NM_001321	CSRP2
GENE119X	NM_007021	C10orf10
GENE4X	A_Contig57222_RC_NM_014584	ERO1L_A
GENE37X	A_NM_012336__AL137729	NARF_A
GENE16X	AK000926	E2-230K
GENE98X	A_X66362__AL161977	PCTK3_A
GENE56X	NM_019037	EXOSC4
GENE10X	AB033111	KIAA1285
GENE102X	Contig3015_RC	PLEKHA2
GENE46X	AF005487	HLA-DRB5
GENE69X	A_NM_003387__Contig46778_RC	WASPIP_A
GENE65X	Contig56534_RC
GENE116X	A_NM_000825__Contig40036_RC	GNRH1_A
GENE0X	AB006713	DPYSL4
GENE72X	NM_000189	HK2
GENE35X	NM_002701	POU5F1
GENE99X	Contig42328_RC
GENE33X	A_U60873__AA553619_RC	TncRNA_A
GENE113X	A_NM_000917__Contig19530_RC	P4HA1_A
GENE71X	NM_001044	SLC6A3
GENE89X	NM_018089	FLJ10415
GENE64X	A_NM_005393__AB033032	PLXNB3_A
GENE48X	NM_015626	WSB1
GENE79X	NM_018514	MEG3
GENE84X	A_NM_002226__Contig51202_RC	JAG2_A
GENE60X	AA608991_RC	LOC283666
GENE13X	AB020704	PPFIA4
GENE83X	NM_006247	PPP5C
GENE29X	AB033070	KIAA1244
GENE52X	NM_019846	CCL28
GENE15X	NM_005967	NAB2
GENE118X	A_NM_000267__AF055023	NF1_A
GENE74X	Contig40599_RC	NAV2
GENE59X	NM_003107	SOX4
GENE75X	NM_003632	CNTNAP1
GENE53X	NM_005071	SLC1A6
GENE39X	NM_005021	ENPP3
