Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with +13 and normal
211455_at	IFP38	13	present at least in one case	present at least in one case
233092_s_at	DKFZP434B061	13	present at least in one case	present at least in one case
225047_at	PRO2463	13	present at least in one case	present at least in one case
224298_s_at	PHGDHL1	13	present at least in one case	present at least in one case
226724_s_at	PSP1	13q11	absent in all cases	absent in all cases
227165_at	C13orf3	13q11	present at least in one case	present at least in one case
222611_s_at	PSP1	13q11	present at least in one case	present at least in one case
227054_at	LOC221143	13q11	present at least in one case	present at least in one case
208741_at	SAP18	13q11	present at least in one case	present at least in one case
218479_s_at	XPO4	13q11	present at least in one case	present at least in one case
212993_at	SAP18	13q11	present at least in one case	present at least in one case
227026_at	HSMPP8	13q11	present at least in one case	present at least in one case
221771_s_at	HSMPP8	13q11	present at least in one case	present at least in one case
218371_s_at	PSP1	13q11	present at least in one case	present at least in one case
220753_s_at	CRYL1	13q11	present at least in one case	present at least in one case
210527_x_at	TUBA2	13q11	present at least in one case	present at least in one case
225041_at	HSMPP8	13q11	present at least in one case	present at least in one case
208740_at	SAP18	13q11	present at least in one case	present at least in one case
222649_at	XPO4	13q11	present at least in one case	present at least in one case
202239_at	ADPRTL1	13q11	present at least in one case	present at least in one case
226574_at	PSP1	13q11	present at least in one case	present at least in one case
208742_s_at	SAP18	13q11	present at least in one case	present at least in one case
208590_x_at	GJA3	13q11-q12	absent in all cases	absent in all cases
223278_at	GJB2	13q11-q12	absent in all cases	absent in all cases
223379_s_at	LATS2	13q11-q12	absent in all cases	absent in all cases
206404_at	FGF9	13q11-q12	present at least in one case	present at least in one case
210282_at	ZNF198	13q11-q12	present at least in one case	present at least in one case
226512_at	ZNF198	13q11-q12	present at least in one case	present at least in one case
223380_s_at	LATS2	13q11-q12	present at least in one case	present at least in one case
202778_s_at	ZNF198	13q11-q12	present at least in one case	present at least in one case
210281_s_at	ZNF198	13q11-q12	present at least in one case	present at least in one case
227013_at	LATS2	13q11-q12	present at least in one case	present at least in one case
207367_at	ATP12A	13q11-q12.1	present at least in one case	present at least in one case
220200_s_at	SET07	13q11-q13	present at least in one case	present at least in one case
228443_s_at	SET07	13q11-q13	present at least in one case	present at least in one case
207302_at	SGCG	13q12	absent in all cases	absent in all cases
210287_s_at	FLT1	13q12	absent in all cases	absent in all cases
222033_s_at	FLT1	13q12	present at least in one case	present at least in one case
205978_at	KL	13q12	present at least in one case	present at least in one case
204406_at	FLT1	13q12	present at least in one case	present at least in one case
204305_at	MIPEP	13q12	present at least in one case	present at least in one case
201006_at	PRDX2	13q12	present at least in one case	present at least in one case
231771_at	GJB6	13q12	present at least in one case	present at least in one case
206652_at	ZNF237	13q12	present at least in one case	present at least in one case
228789_at	MTMR6	13q12	present at least in one case	present at least in one case
206744_s_at	ZNF237	13q12	present at least in one case	present at least in one case
218656_s_at	LHFP	13q12	present at least in one case	present at least in one case
36830_at	MIPEP	13q12	present at least in one case	present at least in one case
204042_at	WASF3	13q12	present at least in one case	present at least in one case
37079_at	YDD19	13q12	present at least in one case	present at least in one case
214558_at	GPR12	13q12	present at least in one case	present at least in one case
231411_at	LHFP	13q12	present at least in one case	present at least in one case
213262_at	SACS	13q12	present at least in one case	present at least in one case
215948_x_at	ZNF237	13q12	present at least in one case	present at least in one case
211658_at	PRDX2	13q12	present at least in one case	present at least in one case
214429_at	MTMR6	13q12	present at least in one case	present at least in one case
224734_at	HMGB1	13q12	present at least in one case	present at least in one case
200679_x_at	HMGB1	13q12	present at least in one case	present at least in one case
39729_at	PRDX2	13q12	present at least in one case	present at least in one case
206674_at	FLT3	13q12	present at least in one case	present at least in one case
204174_at	ALOX5AP	13q12	present at least in one case	present at least in one case
224731_at	HMGB1	13q12	present at least in one case	present at least in one case
200680_x_at	HMGB1	13q12	present at least in one case	present at least in one case
214938_x_at	HMGB1	13q12	present at least in one case	present at least in one case
208559_at	IPF1	13q12.1	absent in all cases	absent in all cases
210938_at	IPF1	13q12.1	absent in all cases	absent in all cases
210937_s_at	IPF1	13q12.1	present at least in one case	present at least in one case
204703_at	TG737	13q12.1	present at least in one case	present at least in one case
227401_at	IL17D	13q12.11	present at least in one case	present at least in one case
243786_at	FLJ25952	13q12.11	present at least in one case	present at least in one case
225564_at	FLJ31208	13q12.11	present at least in one case	present at least in one case
225365_at	FLJ25952	13q12.11	present at least in one case	present at least in one case
212410_at	FLJ34588	13q12.11	present at least in one case	present at least in one case
223827_at	TNFRSF19	13q12.11-q12.3	absent in all cases	absent in all cases
224090_s_at	TNFRSF19	13q12.11-q12.3	absent in all cases	absent in all cases
220270_at	TDRD4	13q12.12	absent in all cases	absent in all cases
224383_at	RNF17	13q12.12	absent in all cases	absent in all cases
224384_s_at	RNF17	13q12.12	absent in all cases	absent in all cases
235465_at	FLJ25477	13q12.12	absent in all cases	absent in all cases
234023_s_at	CENPJ	13q12.12	present at least in one case	present at least in one case
230496_at	FLJ25477	13q12.12	present at least in one case	present at least in one case
221033_s_at	RNF17	13q12.12	present at least in one case	present at least in one case
223984_s_at	NUPL1	13q12.12	present at least in one case	present at least in one case
220885_s_at	CENPJ	13q12.12	present at least in one case	present at least in one case
223513_at	CENPJ	13q12.12	present at least in one case	present at least in one case
204435_at	NUPL1	13q12.12	present at least in one case	present at least in one case
223357_s_at	MTIF3	13q12.13	present at least in one case	present at least in one case
222402_at	C13orf12	13q12.13	present at least in one case	present at least in one case
214719_at	LOC283537	13q12.13	present at least in one case	present at least in one case
223356_s_at	MTIF3	13q12.13	present at least in one case	present at least in one case
224857_s_at	MGC9850	13q12.13	present at least in one case	present at least in one case
224874_at	MGC9850	13q12.13	present at least in one case	present at least in one case
225563_at	LOC255967	13q12.13	present at least in one case	present at least in one case
217769_s_at	C13orf12	13q12.13	present at least in one case	present at least in one case
218258_at	RPAC2	13q12.13	present at least in one case	present at least in one case
200012_x_at - HG-U133A	RPL21	13q12.13	present at least in one case	present at least in one case
200012_x_at - HG-U133B	RPL21	13q12.13	present at least in one case	present at least in one case
210931_at	RNF6	13q12.2	absent in all cases	absent in all cases
214961_at	KIAA0774	13q12.2	absent in all cases	absent in all cases
243884_at	MGC40178	13q12.2	present at least in one case	present at least in one case
210932_s_at	RNF6	13q12.2	present at least in one case	present at least in one case
227058_at	FLJ14834	13q12.2	present at least in one case	present at least in one case
223790_at	MGC2599	13q12.2	present at least in one case	present at least in one case
227569_at	PDZRN1	13q12.2	present at least in one case	present at least in one case
208744_x_at	HSPH1	13q12.2	present at least in one case	present at least in one case
206976_s_at	HSPH1	13q12.2	present at least in one case	present at least in one case
203403_s_at	RNF6	13q12.2	present at least in one case	present at least in one case
202930_s_at	SUCLA2	13q12.2-q13.3	present at least in one case	present at least in one case
203614_at	KIAA0266	13q12.2-q13.3	present at least in one case	present at least in one case
206387_at	CDX2	13q12.3	absent in all cases	absent in all cases
211390_at	PRO0297	13q12.3	absent in all cases	absent in all cases
208368_s_at	BRCA2	13q12.3	present at least in one case	present at least in one case
214318_s_at	13CDNA73	13q12.3	present at least in one case	present at least in one case
242302_at	APRIN	13q12.3	present at least in one case	present at least in one case
214748_at	LOC88523	13q12.3	present at least in one case	present at least in one case
214727_at	BRCA2	13q12.3	present at least in one case	present at least in one case
214319_at	13CDNA73	13q12.3	present at least in one case	present at least in one case
204742_s_at	APRIN	13q12.3	present at least in one case	present at least in one case
229704_at	APRIN	13q12.3	present at least in one case	present at least in one case
204072_s_at	13CDNA73	13q12.3	present at least in one case	present at least in one case
207956_x_at	APRIN	13q12.3	present at least in one case	present at least in one case
231119_at	RFC3	13q12.3-q13	absent in all cases	absent in all cases
204128_s_at	RFC3	13q12.3-q13	present at least in one case	present at least in one case
204127_at	RFC3	13q12.3-q13	present at least in one case	present at least in one case
205899_at	CCNA1	13q12.3-q13	present at least in one case	present at least in one case
227059_at	GTF3A	13q12.3-q13.1	present at least in one case	present at least in one case
215091_s_at	GTF3A	13q12.3-q13.1	present at least in one case	present at least in one case
201338_x_at	GTF3A	13q12.3-q13.1	present at least in one case	present at least in one case
219659_at	ATP8A2	13q12-13	absent in all cases	absent in all cases
231395_at	ATP8A2	13q12-13	absent in all cases	absent in all cases
