Probe Set ID	Fold Change
35061_at	11.8
38432_at	10.63
38549_at	7.416
431_at	7.164
425_at	6.837
35822_at	6.684
32814_at	6.449
1107_s_at	6.411
40639_at	6.307
862_at	6.263
37014_at	6.12
977_s_at	5.927
33272_at	5.855
36927_at	5.788
40304_at	5.649
31644_at	5.614
40095_at	5.588
863_g_at	5.469
31926_at	5.361
37415_at	5.27
201_s_at	5.243
40698_at	5.009
915_at	4.996
38576_at	4.991
33339_g_at	4.979
34621_at	4.966
39320_at	4.889
1916_s_at	4.886
558_at	4.881
1665_s_at	4.835
33304_at	4.8
428_s_at	4.713
33338_at	4.687
38404_at	4.615
37754_at	4.506
36804_at	4.399
33236_at	4.383
32609_at	4.355
39249_at	4.272
37641_at	4.259
41680_at	4.254
219_i_at	4.224
32775_r_at	4.215
1364_at	4.186
37018_at	4.142
38584_at	4.137
39988_at	4.095
464_s_at	4.095
41096_at	4.091
1358_s_at	4.022
38207_at	3.993
35735_at	3.941
40505_at	3.936
38610_s_at	3.909
38388_at	3.827
656_at	3.817
38121_at	3.812
676_g_at	3.773
36658_at	3.757
1585_at	3.739
36133_at	3.705
33701_at	3.655
669_s_at	3.63
38281_at	3.587
37534_at	3.577
39586_at	3.546
40363_r_at	3.501
38389_at	3.464
31885_at	3.45
35576_f_at	3.433
32859_at	3.405
33337_at	3.395
41207_at	3.393
613_at	3.388
36879_at	3.321
32860_g_at	3.308
39732_at	3.293
1915_s_at	3.276
36113_s_at	3.241
37954_at	3.226
39016_r_at	3.223
34096_at	3.158
41745_at	3.144
33352_at	3.131
40303_at	3.119
40153_at	3.111
1042_at	3.097
34157_f_at	3.08
33331_at	3.077
879_at	3.065
41870_at	3.04
37603_at	3.032
286_at	3.013
35275_at	3.009
37244_at	2.991
32700_at	2.989
38490_r_at	2.962
36472_at	2.939
38339_at	2.923
926_at	2.918
1840_g_at	2.9
33483_at	2.895
40356_at	2.894
1184_at	2.878
38272_at	2.876
501_g_at	2.849
41485_at	2.807
37956_at	2.804
39728_at	2.792
626_s_at	2.786
31623_f_at	2.776
37383_f_at	2.76
39631_at	2.757
32139_at	2.748
1503_at	2.72
39578_at	2.706
36412_s_at	2.673
36312_at	2.636
41045_at	2.633
41696_at	2.628
32819_at	2.627
1456_s_at	2.619
32621_at	2.616
32069_at	2.614
35103_i_at	2.612
41171_at	2.612
31887_at	2.592
32094_at	2.589
39532_at	2.574
40437_at	2.562
1448_at	2.538
41557_at	2.507
37360_at	2.498
41670_at	2.494
37434_at	2.487
37148_at	2.46
36943_r_at	2.457
32706_at	2.434
946_at	2.433
34281_at	2.432
956_at	2.427
39263_at	2.419
37890_at	2.407
41785_at	2.4
34891_at	2.384
39624_at	2.369
675_at	2.364
34308_at	2.354
36760_at	2.354
41274_at	2.348
35249_at	2.34
37393_at	2.317
35472_at	2.312
41237_at	2.311
35353_at	2.266
40886_at	2.266
37985_at	2.261
35671_at	2.242
32952_at	2.23
38773_at	2.218
34003_at	2.212
1306_at	2.207
39328_at	2.199
41259_at	2.171
500_at	2.168
41697_at	2.158
34749_at	2.146
949_s_at	2.139
39081_at	2.136
32529_at	2.119
39822_s_at	2.119
36921_at	2.118
35701_at	2.115
40598_at	2.093
38903_at	2.084
32786_at	2.077
41446_f_at	2.073
40568_at	2.072
960_g_at	2.052
37857_at	2.044
32734_at	2.043
31906_at	2.035
574_s_at	2.021
35454_at	2.009
38371_at	2.001
41776_at	1.993
1366_i_at	1.977
34198_at	1.936
34601_at	1.927
39304_g_at	1.922
1904_at	1.909
177_at	1.891
41234_at	1.891
36819_at	1.877
37902_at	1.875
1973_s_at	1.87
38461_at	1.867
32010_at	1.864
37218_at	1.863
31523_f_at	1.853
276_at	1.831
33317_at	1.821
39594_f_at	1.819
1911_s_at	1.815
32830_g_at	1.815
32226_at	1.788
34439_at	1.786
36347_f_at	1.786
39079_at	1.785
34765_at	1.779
36130_f_at	1.758
41663_at	1.757
39354_at	1.749
33994_g_at	1.748
1948_f_at	1.742
31839_at	1.742
1007_s_at	1.739
35963_at	1.736
37562_at	1.736
32222_at	1.731
38542_at	1.73
38735_at	1.729
32203_at	1.711
870_f_at	1.693
32975_g_at	1.688
32980_f_at	1.688
609_f_at	1.688
32963_s_at	1.677
224_at	1.673
33823_at	1.673
40443_at	1.672
1255_g_at	1.669
1154_at	1.658
35094_f_at	1.657
34427_g_at	1.647
31812_at	1.641
160020_at	1.593
37927_at	1.592
33454_at	1.572
688_at	1.568
40925_at	1.567
37424_at	1.559
41450_at	1.552
38008_at	1.509
1134_at	1.474
37297_at	1.469
38977_at	1.431
39399_at	1.425
39308_r_at	1.361
39339_at	1.34
32594_at	1.242
41094_at	-22.87
36329_at	-20.35
32880_at	-13.28
325_s_at	-13.22
34927_at	-8.604
40657_r_at	-7.142
38430_at	-6.717
37630_at	-6.372
40331_at	-6.339
37008_r_at	-6.275
1183_at	-5.966
36908_at	-5.703
39066_at	-5.567
35389_s_at	-5.493
37402_at	-5.427
35324_at	-5.384
37454_at	-5.282
37105_at	-4.907
32128_at	-4.895
41607_at	-4.872
33462_at	-4.705
39273_at	-4.641
35245_at	-4.633
31477_at	-4.613
35717_at	-4.576
38052_at	-4.565
32783_at	-4.545
40046_r_at	-4.531
38057_at	-4.509
39757_at	-4.493
2081_s_at	-4.403
36569_at	-4.392
35234_at	-4.315
159_at	-4.232
1290_g_at	-4.216
37989_at	-4.178
767_at	-4.176
37115_at	-4.161
38026_at	-4.085
38059_g_at	-4.08
32905_s_at	-3.973
32307_s_at	-3.957
33541_s_at	-3.82
37835_at	-3.816
38361_g_at	-3.729
35668_at	-3.727
32057_at	-3.718
38348_at	-3.683
38786_at	-3.682
35051_at	-3.665
33553_r_at	-3.636
36749_at	-3.606
35479_at	-3.592
35730_at	-3.522
36681_at	-3.505
32582_at	-3.468
38995_at	-3.46
32314_g_at	-3.407
39350_at	-3.383
41066_at	-3.376
33665_s_at	-3.278
32143_at	-3.247
39850_at	-3.245
774_g_at	-3.245
38737_at	-3.19
40230_at	-3.187
39673_i_at	-3.184
37394_at	-3.142
37861_at	-3.113
479_at	-3.095
37399_at	-3.089
32542_at	-3.088
38800_at	-3.032
40290_f_at	-3.032
38175_at	-3.013
33382_at	-3.004
33569_at	-3.002
34985_at	-2.933
41273_at	-2.933
39178_at	-2.917
36525_at	-2.902
1060_g_at	-2.889
38581_at	-2.887
36502_at	-2.878
36695_at	-2.865
38126_at	-2.851
37412_at	-2.844
39038_at	-2.834
40045_g_at	-2.826
38803_at	-2.802
40162_s_at	-2.775
41814_at	-2.749
32535_at	-2.738
33871_s_at	-2.728
34388_at	-2.723
40856_at	-2.719
39771_at	-2.718
436_at	-2.691
37592_at	-2.688
36402_at	-2.67
37122_at	-2.658
40282_s_at	-2.656
38300_at	-2.635
40330_at	-2.617
35644_at	-2.603
34950_at	-2.602
39997_at	-2.599
32614_at	-2.576
33182_at	-2.572
38508_s_at	-2.565
31609_s_at	-2.549
41334_r_at	-2.547
39098_at	-2.528
38387_at	-2.523
37530_s_at	-2.515
38351_at	-2.509
33902_at	-2.507
185_at	-2.501
37538_at	-2.462
36917_at	-2.461
34663_at	-2.451
718_at	-2.449
36459_at	-2.437
533_g_at	-2.437
35742_at	-2.432
41847_at	-2.429
35606_at	-2.419
719_g_at	-2.402
36270_at	-2.398
36606_at	-2.389
38722_at	-2.388
40510_at	-2.343
1761_at	-2.337
33756_at	-2.336
34324_at	-2.331
37543_at	-2.308
37743_at	-2.306
35898_at	-2.303
39602_at	-2.295
39674_r_at	-2.293
41209_at	-2.293
35869_at	-2.292
39007_at	-2.287
31786_at	-2.28
39865_at	-2.28
41323_at	-2.28
32191_at	-2.278
39026_r_at	-2.248
679_at	-2.225
39692_at	-2.224
33024_at	-2.197
38261_at	-2.15
35674_at	-2.142
37104_at	-2.133
35655_at	-2.123
39422_at	-2.119
