Gene symbol	Gene name	Gene expression change (-fold) Oligonucleotide array	Gene expression change (-fold) qRT-PCR
Egr2	Early growth response 2	-2.1	-1.5701
Tieg1	TGFB inducible early growth response 1	-2	-3.370.9
Junb	Jun-B oncogene	-1.8	-2.671.0
Gadd45b	Growth arrest and DNA-damage-inducible 45 beta	-1.7	-2.370.3
Siah2	Seven in absentia 2	-1.7	-2.370.6
Fosb	FBJ osteosarcoma oncogene B	-1.5	-2.270.3
Hey1	Hairy/enhancer-of-split related with YRPW motif 1	-1.5	-2.570.4
Klf4	Kruppel-like factor 4 (gut)	-1.5	-2.170.4
