Gene	Accessionno.	int
ADAM17	NM_021832	16.5
TGFB1	NM_000660	12.7
SERPINE1	M16006	11.6
ADAMTS-4	NM_005099	10.7
TUBA3	AF141347	9.8
RPL13A	X56932	6.9
TIMP1	X03124	4.5
UBC	M26880	3.9
RPS9	U14971	3.6
GNB2L1	NM_006098	3.3
COL6A3	NM_004369	2.9
ITGA5	NM_002205	2.2
CTSB	NM_001908	2.2
MMP-2	J03210	2.2
ATF4	M86842	2.0
TXN	NM_003329	1.9
SLC25A6	BC007850	1.5
GPX1	NM_000581	1.5
CTSD	NM_001909	1.5
COL6A1	X15880	1.4
