Probe set identification	Gene title	Gene symbol
38364_at	Transducin-like enhancer of split 4	TLE4
41209_at	Lipoprotein lipase	LPL
35389_s_at	ATP-binding cassette, subfamily A, member 6	ABCA6
311_s_at	Fibronectin, alt. splice 1
2057_g_at	Fibroblast growth factor receptor 1	FGFR1
39603_at	Disrupted in schizophrenia 1	DISC1
39545_at	Cyclin-dependent kinase inhibitor 1C	CDKN1C
32666_at	Chemokine (C-X-C motif) ligand 12	CXCL12
483_g_at	Cadherin 13	CDH13
33966_at	IL-7	IL7
31523_f_at	Histone 1, H2be	HIST1H2BE
1451_s_at	Periostin	POSTN
40511_at	GATA binding protein 3	GATA3
39593_at	Similar to fibrinogen-like 2
36939_at	Glycoprotein M6A	GPM6A
206_at	Cathepsin E	CTSE
286_at	Histone 2, H2aa	HIST2H2AA
36852_at	Tumor suppressor candidate 3	TUSC3
31731_at	Chromobox homolog 4	CBX4
36892_at	Integrin, . 7	ITGA7
