UniGene Cluster ID	Gene Symbol	Gene name
Hs.111611	RPL27	ribosomal protein L27
Hs.155202	TCEB3	Transcription elongation factor B (SIII), polypeptide 3 (110kD, elongin A)
Hs.169793	RPL32	ribosomal protein L32
Hs.275865	RPS18	ribosomal protein S18
Hs.326249	RPL22	ribosomal protein L22
Hs.351937	RPLP2	ribosomal protein, large P2
Hs.356473	SUB1	activated RNA polymerase II transcription cofactor 4
Hs.539	RPS29	ribosomal protein S29
Hs.5398	GMPS	guanine monophosphate synthetase
Hs.75782	GTF3C2	general transcription factor IIIC, polypeptide 2 (beta subunit, 110kD)
Hs.76194	RPS5	ribosomal protein S5
Hs.77039	RPS3A	ribosomal protein S3A
