probe	EntrezGene.ID	coefficient	NCBI.gene.symbol	Description
215072_x_at	26098	-1	C10orf137	chromosome 10 open reading frame 137
211124_s_at	4254	-1	KITLG	KIT ligand
34478_at	9230	-1	RAB11B	RAB11B, member RAS oncogene family
210244_at	820	-1	CAMP	cathelicidin antimicrobial peptide
207824_s_at	4150	-1	MAZ	MYC-associated zinc finger protein (purine-binding transcription factor)
219274_at	23554	1	TSPAN12	tetraspanin 12
219249_s_at	60681	1	FKBP10	FK506 binding protein 10, 65 kDa
218000_s_at	22822	-1	PHLDA1	pleckstrin homology-like domain, family A, member 1
201062_at	2040	1	STOM	stomatin
212218_s_at	2194	-1	FASN	fatty acid synthase
204468_s_at	7075	1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1
221851_at	90379	-1	LOC90379	hypothetical protein BC002926
219730_at	54797	-1	MED18	mediator of RNA polymerase II transcription, subunit 18 homolog (S. cerevisiae)
218885_s_at	79695	1	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)
204014_at	1846	-1	DUSP4	dual specificity phosphatase 4
203381_s_at	348	-1	APOE	apolipoprotein E
206638_at	3357	1	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B
219090_at	57419	1	SLC24A3	solute carrier family 24 (sodium/potassium/calcium exchanger), member 3
217404_s_at	1280	1	COL2A1	collagen, type II, alpha 1 (primary osteoarthritis, spondyloepiphyseal dysplasia, congenital)
205462_s_at	3241	-1	HPCAL1	hippocalcin-like 1
213915_at	4818	-1	NKG7	natural killer cell group 7 sequence
215760_s_at	22904	-1	SBNO2	strawberry notch homolog 2 (Drosophila)
211530_x_at	3135	-1	HLA-G	HLA-G histocompatibility antigen, class I, G
214251_s_at	4926	-1	NUMA1	nuclear mitotic apparatus protein 1
206916_x_at	6898	-1	TAT	tyrosine aminotransferase
216855_s_at	3192	-1	HNRPU	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)
213994_s_at	10418	1	SPON1	spondin 1, extracellular matrix protein
215984_s_at	10139	-1	ARFRP1	ADP-ribosylation factor related protein 1
220187_at	79689	-1	STEAP4	STEAP family member 4
206204_at	2888	1	GRB14	growth factor receptor-bound protein 14
200841_s_at	2058	-1	EPRS	glutamyl-prolyl-tRNA synthetase
213217_at	108	1	ADCY2	adenylate cyclase 2 (brain)
206758_at	1907	1	EDN2	endothelin 2
205403_at	7850	-1	IL1R2	interleukin 1 receptor, type II
201551_s_at	3916	-1	LAMP1	lysosomal-associated membrane protein 1
205555_s_at	4488	-1	MSX2	msh homeobox 2
209052_s_at	7468	-1	WHSC1	Wolf-Hirschhorn syndrome candidate 1
200628_s_at	7453	-1	WARS	tryptophanyl-tRNA synthetase
220483_s_at	25897	-1	RNF19	ring finger protein 19
200917_s_at	6734	-1	SRPR	signal recognition particle receptor (docking protein)
208576_s_at	8358	1	HIST1H3B	histone cluster 1, H3b
204560_at	2289	-1	FKBP5	FK506 binding protein 5
205242_at	10563	-1	CXCL13	chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)
211092_s_at	4771	-1	NF2	neurofibromin 2 (bilateral acoustic neuroma)
207419_s_at	5880	-1	RAC2	ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)
205319_at	8000	-1	PSCA	prostate stem cell antigen
206033_s_at	1825	1	DSC3	desmocollin 3
209131_s_at	8773	-1	SNAP23	synaptosomal-associated protein, 23kDa
219468_s_at	404093	1	CUEDC1	CUE domain containing 1
215925_s_at	971	-1	CD72	CD72 molecule
206642_at	1828	1	DSG1	desmoglein 1
202067_s_at	3949	-1	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)
211027_s_at	3551	-1	IKBKB	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
207678_s_at	11063	-1	SOX30	SRY (sex determining region Y)-box 30
204748_at	5743	1	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
203942_s_at	2011	-1	MARK2	MAP/microtubule affinity-regulating kinase 2
214631_at	10009	-1	ZBTB33	zinc finger and BTB domain containing 33
216314_at	167	-1	CRISP1	cysteine-rich secretory protein 1
213606_s_at	396	-1	ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha
208664_s_at	7267	-1	TTC3	tetratricopeptide repeat domain 3
201123_s_at	1984	-1	EIF5A	eukaryotic translation initiation factor 5A
207245_at	7367	-1	UGT2B17	UDP glucuronosyltransferase 2 family, polypeptide B17
212291_at	204851	-1	HIPK1	homeodomain interacting protein kinase 1
