Gene	Rank	RMS	RES	CE
CCNB1	12653	-1.312	0.001	Yes
CKS2	12651	-1.297	-0.0255	Yes
HSPD1	12592	-1.026	-0.0473	Yes
RPL5	12589	-1.02	-0.0679	Yes
CAD	12587	-1.019	-0.0886	Yes
UBE2C	12582	-1.014	-0.1089	Yes
DSCR2	12568	-0.997	-0.1285	Yes
SNRPB	12553	-0.985	-0.1476	Yes
DDX18	12548	-0.984	-0.1673	Yes
NPM1	12531	-0.969	-0.186	Yes
CCT5	12521	-0.956	-0.2049	Yes
MSH2	12510	-0.943	-0.2236	Yes
NME1	12477	-0.912	-0.2401	Yes
APEX1	12453	-0.891	-0.2568	Yes
PYCR1	12442	-0.883	-0.2741	Yes
RPS16	12440	-0.882	-0.292	Yes
DDX10	12430	-0.873	-0.3092	Yes
PHB	12414	-0.858	-0.3257	Yes
NCL	12412	-0.857	-0.343	Yes
RPS5	12400	-0.851	-0.3595	Yes
ENO1	12388	-0.843	-0.3759	Yes
DKC1	12364	-0.829	-0.3912	Yes
LTA4H	12357	-0.826	-0.4076	Yes
CDC25C	12286	-0.786	-0.4188	Yes
EIF4A1	12259	-0.77	-0.4327	Yes
MINA	12200	-0.742	-0.4437	Yes
SLC39A6	12186	-0.734	-0.4577	Yes
HSPA9B	12176	-0.727	-0.4868	Yes
EIF4B	12178	-0.727	-0.4721	Yes
SRM	12171	-0.726	-0.5012	Yes
NRAS	12122	-0.708	-0.5121	Yes
SLC25A3	12086	-0.693	-0.5237	Yes
PA2G4	12081	-0.691	-0.5375	Yes
PPAT	12076	-0.689	-0.5512	Yes
HSPA8	12047	-0.677	-0.563	Yes
CSDA	12001	-0.661	-0.5731	Yes
H2AFZ	11990	-0.657	-0.5858	Yes
PCNA	11972	-0.649	-0.5977	Yes
HSPE1	11959	-0.646	-0.61	Yes
SNRPD3	11950	-0.643	-0.6224	Yes
TFRC	11947	-0.641	-0.6353	Yes
SFRS2	11927	-0.636	-0.6468	Yes
RPL22	11857	-0.611	-0.6543	Yes
NUP155	11825	-0.601	-0.6642	Yes
RPL19	11810	-0.598	-0.6753	Yes
IMPA2	11598	-0.54	-0.6707	Yes
RPS13	11597	-0.539	-0.6816	Yes
CEBPZ	11513	-0.519	-0.686	Yes
RPL27	11390	-0.492	-0.6868	Yes
PPID	11310	-0.477	-0.6905	Yes
TXN	11281	-0.471	-0.698	Yes
SFRS1	11248	-0.464	-0.705	Yes
RPS19	11209	-0.456	-0.7114	Yes
AKAP1	11111	-0.437	-0.7129	Yes
NAP1L1	10985	-0.414	-0.7119	Yes
EXOSC8	10793	-0.38	-0.7051	Yes
PSMB1	10758	-0.376	-0.7101	Yes
HNRPA2B1	10712	-0.369	-0.7141	Yes
RPL32	10579	-0.35	-0.7111	No
BAX	10346	-0.316	-0.6998	No
UCHL1	9764	-0.242	-0.66	No
TOP1	9698	-0.235	-0.6598	No
PREP	9696	-0.234	-0.6644	No
PRPS2	9683	-0.232	-0.6682	No
POLD2	9383	-0.201	-0.6492	No
RPL9	9282	-0.19	-0.6453	No
METTL1	9044	-0.164	-0.6303	No
RPL27A	8971	-0.157	-0.6279	No
E2F1	8833	-0.142	-0.6202	No
MAT2A	8545	-0.114	-0.6003	No
PPIA	8391	-0.101	-0.5904	No
FASN	8350	-0.097	-0.5893	No
PRDX3	8018	-0.071	-0.565	No
UXT	7482	-0.034	-0.5239	No
SFRS7	7450	-0.032	-0.5221	No
CTSC	7340	-0.026	-0.5141	No
PTEN	6991	-0.004	-0.4869	No
TERT	5436	0.081	-0.3635	No
CCND2	4208	0.148	-0.2676	No
TYMS	4091	0.154	-0.2614	No
RPL10	3557	0.185	-0.2221	No
CCKBR	3146	0.216	-0.1933	No
DDX5	2990	0.228	-0.1853	No
SHMT1	2059	0.315	-0.116	No
ID2	1778	0.351	-0.1002	No
FOSL1	1094	0.45	-0.053	No
RPS6KA2	538	0.59	-0.018	No
MTHFD1	436	0.625	-0.022	No
