Affy-ID	gene	chromosomal locus	expression with respect to all cases	expression with respect to cases with -7 and normal
207346_at	EPIM	7	present at least in one case	present at least in one case
220915_s_at	FLJ11871	7	present at least in one case	present at least in one case
213486_at	DKFZP761N09121	7	present at least in one case	present at least in one case
203234_at	UP	7	present at least in one case	present at least in one case
207035_at	SLC30A3	7	absent in all cases	absent in all cases
220914_at	FLJ11871	7	absent in all cases	absent in all cases
233569_at	DKFZP761N09121	7	absent in all cases	absent in all cases
235755_at	TNRC18	7	absent in all cases	absent in all cases
212559_at	PRKAR1B	7pter-p22	present at least in one case	present at least in one case
212555_at	PRKAR1B	7pter-p22	absent in all cases	absent in all cases
205762_s_at	PP35	7pter-7cen	present at least in one case	present at least in one case
205761_s_at	PP35	7pter-7cen	present at least in one case	present at least in one case
209672_s_at	FLJ20323	7p22-p21	present at least in one case	present at least in one case
221737_at	GNA12	7p22-p21	present at least in one case	present at least in one case
211724_x_at	FLJ20323	7p22-p21	present at least in one case	present at least in one case
206860_s_at	FLJ20323	7p22-p21	present at least in one case	present at least in one case
224681_at	GNA12	7p22-p21	present at least in one case	present at least in one case
214435_x_at	RALA	7p22-p15	present at least in one case	present at least in one case
224880_at	RALA	7p22-p15	present at least in one case	present at least in one case
220562_at	FLJ20359	7p22.3	present at least in one case	present at least in one case
217124_at	KIAA1023	7p22.3	present at least in one case	present at least in one case
240147_at	MGC11257	7p22.3	present at least in one case	present at least in one case
219150_s_at	CENTA1	7p22.3	present at least in one case	present at least in one case
242158_at	PAPOLB	7p22.3	present at least in one case	present at least in one case
229912_at	SDK1	7p22.3	present at least in one case	present at least in one case
214169_at	UNC84A	7p22.3	present at least in one case	present at least in one case
223811_s_at	CGI-20	7p22.3	present at least in one case	present at least in one case
228770_at	LOC115330	7p22.3	present at least in one case	present at least in one case
236274_at	EIF3S9	7p22.3	present at least in one case	present at least in one case
224478_s_at	MGC11257	7p22.3	present at least in one case	present at least in one case
223241_at	SNX8	7p22.3	present at least in one case	present at least in one case
204202_at	KIAA1023	7p22.3	present at least in one case	present at least in one case
219332_at	FLJ23471	7p22.3	present at least in one case	present at least in one case
224808_s_at	CGI-20	7p22.3	present at least in one case	present at least in one case
225437_s_at	MGC22916	7p22.3	present at least in one case	present at least in one case
212212_s_at	DKFZP586J0619	7p22.3	present at least in one case	present at least in one case
212074_at	UNC84A	7p22.3	present at least in one case	present at least in one case
211501_s_at	EIF3S9	7p22.3	present at least in one case	present at least in one case
223363_at	MGC10911	7p22.3	present at least in one case	present at least in one case
218460_at	FLJ20397	7p22.3	present at least in one case	present at least in one case
90265_at	CENTA1	7p22.3	present at least in one case	present at least in one case
226206_at	FLJ32205	7p22.3	present at least in one case	present at least in one case
203462_x_at	EIF3S9	7p22.3	present at least in one case	present at least in one case
208688_x_at	EIF3S9	7p22.3	present at least in one case	present at least in one case
206487_at	UNC84A	7p22.3	absent in all cases	absent in all cases
208271_at	PAPOLB	7p22.3	absent in all cases	absent in all cases
212210_at	DKFZP586J0619	7p22.3	absent in all cases	absent in all cases
224816_at	CGI-20	7p22.3	absent in all cases	absent in all cases
227588_s_at	CGI-20	7p22.3	absent in all cases	absent in all cases
229407_at	SDK1	7p22.3	absent in all cases	absent in all cases
230210_at	UNC84A	7p22.3	absent in all cases	absent in all cases
231831_at	LOC90639	7p22.3	absent in all cases	absent in all cases
235817_at	MGC9712	7p22.3	absent in all cases	absent in all cases
240900_at	MGC11257	7p22.3	absent in all cases	absent in all cases
225828_at	LOC221955	7p22.2	present at least in one case	present at least in one case
232884_s_at	DKFZp434J1015	7p22.2	present at least in one case	present at least in one case
223137_at	ZDHHC4	7p22.2	present at least in one case	present at least in one case
215068_s_at	FLJ11467	7p22.2	present at least in one case	present at least in one case
225833_at	LOC221955	7p22.2	present at least in one case	present at least in one case
228982_s_at	FLJ12697	7p22.2	present at least in one case	present at least in one case
221120_at	FLJ20306	7p22.2	present at least in one case	present at least in one case
230826_at	LOC221938	7p22.2	present at least in one case	present at least in one case
230905_at	ZDHHC4	7p22.2	present at least in one case	present at least in one case
201974_s_at	CGI-43	7p22.2	present at least in one case	present at least in one case
209912_s_at	KIAA0415	7p22.2	present at least in one case	present at least in one case
209913_x_at	KIAA0415	7p22.2	present at least in one case	present at least in one case
226172_at	FLJ12697	7p22.2	present at least in one case	present at least in one case
226986_at	DKFZP434J154	7p22.2	present at least in one case	present at least in one case
227065_at	TRIAD3	7p22.2	present at least in one case	present at least in one case
226640_at	LOC221955	7p22.2	present at least in one case	present at least in one case
225832_s_at	LOC221955	7p22.2	present at least in one case	present at least in one case
225147_at	PSCD3	7p22.2	present at least in one case	present at least in one case
218426_s_at	TRIAD3	7p22.2	present at least in one case	present at least in one case
214699_x_at	DKFZP434J154	7p22.2	present at least in one case	present at least in one case
224452_s_at	MGC12966	7p22.2	present at least in one case	present at least in one case
226176_s_at	FLJ12697	7p22.2	present at least in one case	present at least in one case
218425_at	TRIAD3	7p22.2	present at least in one case	present at least in one case
219571_s_at	GIOT-3	7p22.2	present at least in one case	present at least in one case
200698_at	KDELR2	7p22.2	present at least in one case	present at least in one case
226669_at	FLJ12697	7p22.2	present at least in one case	present at least in one case
220261_s_at	ZDHHC4	7p22.2	present at least in one case	present at least in one case
226691_at	KIAA1856	7p22.2	present at least in one case	present at least in one case
204710_s_at	DKFZP434J154	7p22.2	present at least in one case	present at least in one case
202031_s_at	DKFZP434J154	7p22.2	present at least in one case	present at least in one case
200700_s_at	KDELR2	7p22.2	present at least in one case	present at least in one case
201973_s_at	CGI-43	7p22.2	present at least in one case	present at least in one case
206523_at	PSCD3	7p22.2	absent in all cases	absent in all cases
216395_at	FLJ11467	7p22.2	absent in all cases	absent in all cases
220896_at	FLJ11467	7p22.2	absent in all cases	absent in all cases
226174_at	FLJ12697	7p22.2	absent in all cases	absent in all cases
227281_at	ENT4	7p22.2	absent in all cases	absent in all cases
228270_at	DKFZp547K054	7p22.2	absent in all cases	absent in all cases
232863_at	LOC285924	7p22.2	absent in all cases	absent in all cases
242187_s_at	KIAA1856	7p22.2	absent in all cases	absent in all cases
243752_s_at	PSCD3	7p22.2	absent in all cases	absent in all cases
244882_at	KIAA1856	7p22.2	absent in all cases	absent in all cases
206201_s_at	MEOX2	7p22.1-p21.3	absent in all cases	absent in all cases
206202_at	MEOX2	7p22.1-p21.3	absent in all cases	absent in all cases
225700_at	GLCCI1	7p22.1	present at least in one case	present at least in one case
227525_at	GLCCI1	7p22.1	present at least in one case	present at least in one case
219261_at	MGC2718	7p22.1	present at least in one case	present at least in one case
225706_at	GLCCI1	7p22.1	present at least in one case	present at least in one case
47083_at	MGC2718	7p22.1	present at least in one case	present at least in one case
222002_at	MGC2718	7p22.1	absent in all cases	absent in all cases
223693_s_at	FLJ10324	7p22	present at least in one case	absent in all cases
229830_at	PDGFA	7p22	present at least in one case	absent in all cases
216867_s_at	PDGFA	7p22	present at least in one case	absent in all cases
214191_at	ICA1	7p22	present at least in one case	present at least in one case
210640_s_at	GPR30	7p22	present at least in one case	present at least in one case
217061_s_at	ETV1	7p22	present at least in one case	present at least in one case
223514_at	CARD11	7p22	present at least in one case	present at least in one case
232377_at	NXPH1	7p22	present at least in one case	present at least in one case
205463_s_at	PDGFA	7p22	present at least in one case	present at least in one case
209805_at	PMS2	7p22	present at least in one case	present at least in one case
228762_at	LFNG	7p22	present at least in one case	present at least in one case
204002_s_at	ICA1	7p22	present at least in one case	present at least in one case
217053_x_at	ETV1	7p22	present at least in one case	present at least in one case
211740_at	ICA1	7p22	present at least in one case	present at least in one case
204857_at	MAD1L1	7p22	present at least in one case	present at least in one case
217735_s_at	JTV1	7p22	present at least in one case	present at least in one case
209972_s_at	JTV1	7p22	present at least in one case	present at least in one case
210933_s_at	FSCN1	7p22	present at least in one case	present at least in one case
206501_x_at	ETV1	7p22	present at least in one case	present at least in one case
222786_at	C4S-2	7p22	present at least in one case	present at least in one case
207949_s_at	ICA1	7p22	present at least in one case	present at least in one case
222130_s_at	FTSJ2	7p22	present at least in one case	present at least in one case
201564_s_at	FSCN1	7p22	present at least in one case	present at least in one case
204766_s_at	NUDT1	7p22	present at least in one case	present at least in one case
210547_x_at	ICA1	7p22	present at least in one case	present at least in one case
224674_at	KIAA1691	7p22	present at least in one case	present at least in one case
218927_s_at	C4S-2	7p22	present at least in one case	present at least in one case
218356_at	FTSJ2	7p22	present at least in one case	present at least in one case
209507_at	RPA3	7p22	present at least in one case	present at least in one case
202138_x_at	JTV1	7p22	present at least in one case	present at least in one case
209971_x_at	HRI	7p22	present at least in one case	present at least in one case
217736_s_at	HRI	7p22	present at least in one case	present at least in one case
208641_s_at	RAC1	7p22	present at least in one case	present at least in one case
208640_at	RAC1	7p22	present at least in one case	present at least in one case
206750_at	MAFK	7p22	absent in all cases	absent in all cases
211829_s_at	GPR30	7p22	absent in all cases	absent in all cases
215270_at	LFNG	7p22	absent in all cases	absent in all cases
205020_s_at	ARL4	7p21-p15.3	present at least in one case	present at least in one case
234393_at	HDAC9	7p21-p15	present at least in one case	present at least in one case
208104_s_at	THG-1	7p21-p15	present at least in one case	present at least in one case
205659_at	HDAC9	7p21-p15	present at least in one case	present at least in one case
204361_s_at	SCAP2	7p21-p15	present at least in one case	present at least in one case
216899_s_at	SCAP2	7p21-p15	present at least in one case	present at least in one case
225639_at	SCAP2	7p21-p15	present at least in one case	present at least in one case
204362_at	SCAP2	7p21-p15	present at least in one case	present at least in one case
221322_at	RFRP	7p21-p15	absent in all cases	absent in all cases
231543_at	FAPP2	7p21-p11.2	present at least in one case	present at least in one case
232212_at	FAPP2	7p21-p11.2	present at least in one case	present at least in one case
233943_x_at	FAPP2	7p21-p11.2	present at least in one case	present at least in one case
219942_at	MYLC2A	7p21-p11.2	absent in all cases	absent in all cases
