Probe Set ID	Fold Change
32814_at	63.694
915_at	38.314
38432_at	24.938
38389_at	17.331
32775_r_at	16.863
38388_at	14.925
37014_at	14.514
38549_at	14.514
37168_at	9.615
38584_at	9.174
879_at	7.937
1107_s_at	7.692
36927_at	7.299
1358_s_at	7.143
37641_at	7.092
38662_at	6.993
34491_at	6.579
39324_at	6.135
37360_at	6.024
33304_at	4.63
32609_at	4.255
35012_at	4.202
41745_at	4.202
39263_at	4.184
37352_at	4.167
36412_s_at	4.082
39081_at	4.065
35061_at	3.984
35718_at	3.984
37468_at	3.922
37353_g_at	3.891
464_s_at	3.831
34304_s_at	3.636
1046_at	3.623
1173_g_at	3.584
875_g_at	3.497
431_at	3.484
766_at	3.484
1715_at	3.46
37099_at	3.322
851_s_at	3.279
1666_at	3.106
39593_at	2.959
33488_at	2.907
37068_at	2.89
37391_at	2.882
40455_at	2.874
32069_at	2.833
40385_at	2.793
37754_at	2.778
39061_at	2.762
946_at	2.762
31623_f_at	2.755
34470_at	2.674
36804_at	2.597
36825_at	2.591
37354_at	2.525
38369_at	2.475
34375_at	2.463
39412_at	2.404
675_at	2.398
36312_at	2.387
31847_at	2.37
40755_at	2.358
35372_r_at	2.347
33253_at	2.342
38091_at	2.342
39703_at	2.331
34819_at	2.32
32130_at	2.315
39603_at	2.304
39775_at	2.268
34951_at	2.242
33454_at	2.227
38916_at	2.198
39386_at	2.193
34931_at	2.188
33823_at	2.174
925_at	2.16
38082_at	2.151
36069_at	2.137
574_s_at	2.137
39994_at	2.128
40310_at	2.123
33333_at	2.119
36243_at	2.11
32224_at	2.096
35937_at	2.079
37319_at	2.079
1237_at	2.066
40071_at	2.049
34714_at	2.028
32954_at	2.016
37889_at	2.016
31622_f_at	2.004
37943_at	1.996
39728_at	1.992
859_at	1.992
1868_g_at	1.98
33205_at	1.976
34276_at	1.976
32203_at	1.965
40700_at	1.946
34439_at	1.942
34292_at	1.894
41662_at	1.876
39594_f_at	1.848
33938_g_at	1.845
36674_at	1.832
1445_at	1.825
34678_at	1.818
37201_at	1.818
37001_at	1.808
37650_at	1.805
35272_at	1.795
38488_s_at	1.783
39779_at	1.776
41743_i_at	1.77
40064_at	1.767
870_f_at	1.767
32202_at	1.764
296_at	1.748
35735_at	1.742
41390_at	1.742
36776_at	1.739
40696_at	1.739
38121_at	1.736
35215_at	1.727
1294_at	1.724
35254_at	1.724
32067_at	1.721
33418_at	1.715
39032_at	1.715
40447_at	1.715
41349_at	1.698
38994_at	1.692
35208_at	1.684
37701_at	1.684
35794_at	1.678
35143_at	1.658
1801_at	1.656
33124_at	1.653
33707_at	1.65
1916_s_at	1.642
37890_at	1.642
1326_at	1.637
39331_at	1.637
37442_at	1.631
38006_at	1.626
32741_at	1.618
31429_at	1.613
41446_f_at	1.61
36103_at	1.605
41626_at	1.605
34688_at	1.597
32039_at	1.59
245_at	1.587
34308_at	1.582
38287_at	1.572
41524_at	1.572
33705_at	1.57
32638_s_at	1.567
33339_g_at	1.565
35296_at	1.565
32776_at	1.563
32253_at	1.56
40813_at	1.555
39118_at	1.548
41864_at	1.546
1383_at	1.543
33337_at	1.541
38631_at	1.541
40063_at	1.541
37564_at	1.538
39403_at	1.538
34426_at	1.536
276_at	1.531
39777_at	1.522
35722_at	1.52
31845_at	1.515
36651_at	1.513
39990_at	1.511
32904_at	1.508
33236_at	1.508
37836_at	1.502
34824_at	1.495
37636_at	1.495
32618_at	1.486
36465_at	1.471
37845_at	1.471
40639_at	1.471
39924_at	1.464
32506_at	1.46
40083_at	1.456
38179_at	1.449
32977_at	1.437
32112_s_at	1.435
37700_at	1.435
36270_at	1.431
769_s_at	1.427
34169_s_at	1.425
37500_at	1.425
37043_at	1.42
40884_g_at	1.42
41468_at	1.416
33219_at	1.412
38168_at	1.406
41167_at	1.404
478_g_at	1.403
1188_g_at	1.395
33338_at	1.389
35369_at	1.387
37716_at	1.387
33146_at	1.377
36711_at	1.376
37466_at	1.376
36128_at	1.374
38440_s_at	1.362
31821_at	1.357
35839_at	1.357
40615_at	1.357
35321_at	1.342
34745_at	1.339
31444_s_at	1.332
38924_s_at	1.332
35911_r_at	1.318
37367_at	1.318
33403_at	1.312
35979_at	1.297
34883_at	1.279
37045_at	1.274
33164_at	1.272
37308_at	1.272
167_at	1.247
260_at	1.221
38337_at	1.188
32841_at	1.135
37467_at	-3.168
404_at	-2.953
39330_s_at	-2.922
558_at	-2.827
1505_at	-2.779
36894_at	-2.271
1592_at	-2.158
436_at	-2.156
40456_at	-2.146
1515_at	-2.079
32096_at	-2.001
904_s_at	-1.98
38559_at	-1.95
35626_at	-1.947
40145_at	-1.917
37006_at	-1.892
32589_at	-1.813
39296_at	-1.774
36061_at	-1.745
38361_g_at	-1.738
982_at	-1.733
33541_s_at	-1.709
34990_at	-1.705
35995_at	-1.703
604_at	-1.694
198_g_at	-1.689
