microRNAs	Hazard ratio	95% CI	p-value
hsa-mir-92a-1	1.4	1.09-1.80	0.009
hsa-mir-34b	1.94	1.18-3.19	0.009
hsa-mir-181a-1	1.65	1.13-2.41	0.009
hsa-mir-34c	2.37	1.23-4.57	0.01
hsa-mir-222	1.87	1.14-3.05	0.013
hsa-mir-107	1.52	1.09-2.13	0.015
hsa-mir-25	1.48	1.07-2.05	0.018
hsa-mir-564	0.29	0.10-0.81	0.018
hsa-mir-92b	1.48	1.04-2.12	0.03
hsa-mir-20b	1.34	1.03-1.75	0.031
hsa-mir-194-1	1.85	1.05-3.26	0.033
hsa-mir-19a	1.33	1.02-1.74	0.034
hsa-mir-661	1.86	1.04-3.33	0.036
hsa-mir-103-1	1.39	1.02-1.91	0.038
hsa-mir-449a	2.36	1.00-5.59	0.05
