Signalling Pathway	Gene	Expression
Wnt	BTAF1	Down
Wnt	SMARCA5	Down
Wnt	SIAH1	Down
Wnt	CSNK1A	Down
Wnt	CSNK1G3	Down
Wnt	CSNK1A1L	Down
Wnt	ACVR1B	Up
Wnt	CTBP2	Up
Ubiquitin-proteasome	EDD1	Down
Ubiquitin-proteasome	UBE2E1	Down
Ubiquitin-proteasome	UBE3A	Down
Ubiquitin-proteasome	UBE2NL	Down
Ubiquitin-proteasome	UBE1C	Down
TGF-beta	SMURF2	Down
TGF-beta	GDF9	Down
TGF-beta	RAB28	Down
TGF-beta	RRAS2	Down
Integrin	ACTN1	Up
Integrin	ITGB3	Up
Integrin	COL10A1	Up
Blood coagulation	VWF	Up
Transcription factors	NFE2	Up
Transcription factors	HOXB7	Up
Transcription factors	EVX1	Up
Transcription factors	CREB1	Up
Transcription factors	MLLT10	Up
Transcription factors	TGIF	Up
Transcription factors	HESX1	Up
Transcription factors	KRAB box transcription factors	Up
Others	EPAS1	Down
Others	CCNG1	Down
Others	TNFRSF10A	Down
Others	CCNG2	Down
Others	PRKAB2	Down
Others	SUMO1	Down
