Probe set	Gene Symbol	P-value
201557_at	VAMP2	<0.000001
202053_s_at	ALDH3A2	0.00001
203716_s_at	DPP4	0.00547
205114_s_at	CCL3	0.00035
205523_at	HAPLN1	0.00001
209166_s_at	MAN2B1	<0.000001
209488_s_at	RBPMS	<0.000001
211207_s_at	ACSL6	0.00945
211360_s_at	ITPR2	0.00461
212146_at	PLEKHM2	<0.000001
212742_at	RNF115	<0.000001
212784_at	CIC	0.00001
212953_x_at	CALR	0.00018
222118_at	CENPN	0.00085
