Clone ID	Gene Symbol	Gene Name
NA	WNT3	Wnt-3
1358297	NA	1358297
NA	LC20117	LC20117
1289261	NA	1289261
1351354	NA	1351354
1356371	NA	1356371
NA	Titin	Titin
NA	LC10527	LC10527
1355728	NA	1355728
1268656	NA	1268656
1337708	NA	1337708
NA	LC20049	LC20049
NA	ROR1	Ror1 tyrosine kinase
1352881	NA	1352881
NA	CD62P	CD62P=P-selectin
NA	KIAA0744	KIAA0744
1289167	NA	1289167
NA	Tyr Ptase non-receptor 12	Tyr Ptase non-receptor 12
NA	BCL2	BCL-2
NA	CTLA4	CTLA-4
NA	CD200	MRC OX-2
NA	CD5	CD5
NA	IL2RA	IL-2 receptor alpha chain
NA	NLRP1	KIAA0926
NA	TXNIP	brain-expressed HHCPA78
NA	CD23A	CD23A
NA	BIN2	bin2
NA	CD62L	CD62L=L-selectin
NA	FGR	FGR tyrosine kinase
NA	MDCL	MDC-L
NA	TOSO	Toso
NA	IL4RA	IL-4 receptor alpha chain
NA	MDA7	MDA-7
NA	ALOX5	Arachidonate 5-LO
NA	PRKCB	PKC beta
NA	CD37	CD37
NA	MEKK1	MEKK1
NA	EVI2B	EVI2B
NA	DGKA	Diacylglycerol kinase alpha
NA	IL10RA	IL-10 receptor
NA	FCGR2B	Low-affinity IgG Fc RII-B/C
NA	CD10	CD10
NA	CD38	CD38
NA	MYBL1	A-myb
NA	RGS13	RGS13
NA	NBK	NBK
NA	BCL6	BCL-6
NA	TTG2	TTG-2
