ID	Symbol	Name	Synonyms	Chromosome
3587	IL10RA	interleukin 10 receptor, alpha	CDW210A|HIL-10R|IL-10R1|IL10R	11
3588	IL10RB	interleukin 10 receptor, beta	CDW210B|CRF2-4|CRFB4|D21S58|D21S66|IL-10R2	21
3590	IL11RA	interleukin 11 receptor, alpha	MGC2146	9
3591	IL11RB	interleukin 11 receptor, beta	-	-
3594	IL12RB1	interleukin 12 receptor, beta 1	CD212|IL-12R-BETA1|IL12RB|MGC34454	19
3595	IL12RB2	interleukin 12 receptor, beta 2	-	1
3597	IL13RA1	interleukin 13 receptor, alpha 1	CD213A1|IL-13Ra|NR4	X
3598	IL13RA2	interleukin 13 receptor, alpha 2	CD213A2|CT19|IL-13R|IL13BP	X
3601	IL15RA	interleukin 15 receptor, alpha	MGC104179	10
3602	IL15RB	interleukin 15 receptor, beta	-	-
23765	IL17RA	interleukin 17 receptor A	CD217|CDw217|IL-17RA|IL17R|MGC10262|hIL-17R	22
55540	IL17RB	interleukin 17 receptor B	CRL4|EVI27|IL17BR|IL17RH1|MGC5245	3
84818	IL17RC	interleukin 17 receptor C	FLJ95963|FLJ96005|IL17-RL|IL17RL|MGC10763	3
54756	IL17RD	interleukin 17 receptor D	DKFZp434N1928|FLJ35755|IL-17RD|IL17RLM|MGC133309|SEF	3
132014	IL17RE	interleukin 17 receptor E	FLJ23658|MGC71884	3
8809	IL18R1	interleukin 18 receptor 1	CD218a|CDw218a|IL-1Rrp|IL18RA|IL1RRP	2
8807	IL18RAP	interleukin 18 receptor accessory protein	ACPL|CD218b|CDw218b|IL18RB|MGC120589|MGC120590	2
3554	IL1R1	interleukin 1 receptor, type I	CD121A|D2S1473|IL-1R-alpha|IL1R|IL1RA|P80	2
7850	IL1R2	interleukin 1 receptor, type II	CD121b|IL1RB|MGC47725	2
3556	IL1RAP	interleukin 1 receptor accessory protein	C3orf13|FLJ37788|IL-1RAcP|IL1R3	3
9173	IL1RL1	interleukin 1 receptor-like 1	DER4|FIT-1|MGC32623|ST2|ST2L|ST2V|T1	2
8808	IL1RL2	interleukin 1 receptor-like 2	IL1R-rp2|IL1RRP2	2
53832	IL20RA	interleukin 20 receptor, alpha	FLJ40993|IL-20R1|ZCYTOR7	6
53833	IL20RB	interleukin 20 receptor beta	DIRS1|FNDC6|IL-20R2|MGC34923	3
50615	IL21R	interleukin 21 receptor	MGC10967|NILR	16
58985	IL22RA1	interleukin 22 receptor, alpha 1	CRF2-9|IL22R|IL22R1	1
116379	IL22RA2	interleukin 22 receptor, alpha 2	CRF2-10|CRF2-S1|CRF2X|IL-22BP|MGC150509|MGC150510	6
149233	IL23R	interleukin 23 receptor	-	1
9466	IL27RA	interleukin 27 receptor, alpha	CRL1|IL27R|TCCR|WSX1|zcytor1	19
163702	IL28RA	interleukin 28 receptor, alpha (interferon, lambda receptor)	CRF2/12|IFNLR|IFNLR1|IL-28R1|LICR2	1
3559	IL2RA	interleukin 2 receptor, alpha	CD25|IDDM10|IL2R|TCGFR	10
3560	IL2RB	interleukin 2 receptor, beta	CD122|P70-75	22
3561	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)	CD132|IMD4|SCIDX|SCIDX1	X
133396	IL31RA	interleukin 31 receptor A	CRL|CRL3|GLM-R|GLMR|GPL|IL-31RA|MGC125346|PRO21384	5
3563	IL3RA	interleukin 3 receptor, alpha (low affinity)	CD123|IL3R|IL3RAY|IL3RX|IL3RY|MGC34174|hIL-3Ra	X|Y
3566	IL4R	interleukin 4 receptor	CD124|IL4RA	16
3568	IL5RA	interleukin 5 receptor, alpha	CD125|CDw125|HSIL5R3|IL5R|MGC26560	3
3570	IL6R	interleukin 6 receptor	CD126|IL-6R-1|IL-6R-alpha|IL6RA|MGC104991	1
3575	IL7R	interleukin 7 receptor	CD127|CDW127|IL-7R-alpha|IL7RA|ILRA	5
3577	IL8RA	interleukin 8 receptor, alpha	C-C|C-C-CKR-1|CD128|CD181|CDw128a|CKR-1|CMKAR1|CXCR1|IL8R1|IL8RBA	2
3579	IL8RB	interleukin 8 receptor, beta	CD182|CDw128b|CMKAR2|CXCR2|IL8R2|IL8RA	2
3581	IL9R	interleukin 9 receptor	CD129	X|Y
6761	ST2	suppression of tumorigenicity 2	-	11
