Probe ID	Gene Symbol
210554_s_at	CTBP2
218803_at	CHFR
218665_at	FZD4
203221_at	TLE1
201124_at	ITGB5
216524_x_at	---
221392_at	TAS2R4
219358_s_at	CENTA2
201218_at	CTBP2
220242_x_at	ZNF701
212169_at	FKBP9
213340_s_at	KIAA0495
216857_at	---
204214_s_at	RAB32
215111_s_at	TSC22D1
221300_at	C15orf2
202011_at	TJP1
217732_s_at	ITM2B
210835_s_at	CTBP2
52651_at	COL8A2
201163_s_at	IGFBP7
214707_x_at	ALMS1
212760_at	URBR2
1598_g_at	GAS6
208035_at	GRM6
203002_at	AMOTL2
213169_at	---
220760_x_at	ZNF665
201220_x_at	CTBP2
221192_x_at	ET
214168_s_at	TJP1
203187_at	DOCK1
213450_s_at	ICOSLG
212658_at	LHFPL2
214896_at	LOC400411
206625_at	RDS
215463_at	OR7E24
216832_at	RUNX1T1
220689_at	---
214039_s_at	LAPTM4B
214072_x_at	NENF
215359_x_at	ZNF44
207141_s_at	KCNJ3
221453_at	G6PC2
207761_s_at	DKFZP586A0
207579_at	FAT
206176_at	BMP6
212442_s_at	LASS6
211446_at	RGSL2
211364_at	MTAP
