Number	GenBank accession No.	Identity	Average signal ratio  (Cy5-TCC/Cy3-normal)
1	X53586	Human mRNA for integrin alpha 6.	26.34
2	J03817	Human glutathione transferase M1B (GST1) mRNA, complete cds.	15.36
3	U06454	Human AMP-activated protein kinase (hAMPK) mRNA, complete cds.	10.57
4	S74452	Cyclin B1 {promoter region} [human, cervical carcinoma cell line, HeLa cells]	9.31
5	L40636	Homo sapiens protein tyrosine kinase (NET PTK) mRNA, complete cds.	8.49
6	L36645	Homo sapiens receptor protein-tyrosine kinase (HEK8) mRNA, complete cds.	8.20
7	U95822	Human putative transmembrane GTPase mRNA, partial cds.	6.20
8	M74491	Human ADP-ribosylation factor 3 mRNA, complete cds.	5.57
9	D85511	Homo sapiens mRNA for MT3-MMP, complete cds.	5.50
10	U53225	Human sorting nexin 1 (SNX1) mRNA, complete cds.	5.15
11	X70326	Homo sapiens MacMarcks mRNA.	5.12
12	AF017656	Homo sapiens G protein beta 5 subunit mRNA, complete cds.	4.37
13	M57609	Human DNA-binding protein (GLI3) mRNA, complete cds.	4.33
14	D86550	Human mRNA for serine/threonine protein kinase, complete cds.	4.23
15	X65614	Homo sapiens mRNA for calcium-binding protein S100P.	4.18
16	M94856	Human fatty acid binding protein homologue (PA-FABP) mRNA, complete cds.	4.15
17	AF077350	Homo sapiens inhibitor of apoptosis homolog mRNA, complete cds.	4.15
18	U48296	Homo sapiens protein tyrosine phosphatase PTPCAAX1 mRNA, complete cds.	0.25
19	X68277	Homo sapiens CL 100 mRNA for protein tyrosine phosphatase.	0.25
20	U45879	Human inhibitor of apoptosis protein 2 mRNA, complete cds.	0.24
21	AB009357	Homo sapiens mRNA for TGF-beta activated kinase 1b, complete cds.	0.23
22	Z11793	Homo sapiens mRNA for selenoprotein P.	0.23
23	AB001103	Homo sapiens gene for H-cadherin, exon 14, complete cds.	0.19
24	M34057	Human transforming growth factor-beta 1 binding protein mRNA, complete cds.	0.19
25	M14144	Human vimentin gene, complete cds.	0.13
26	Z19554	Homo sapiens vimentin gene.	0.13
27	AF061261	Homo sapiens zinc finger protein (MBLL) mRNA, complete cds.	0.07
28	AF017986	Homo sapiens secreted apoptosis related protein 1 (SARP1) mRNA, partial cds.	0.07
29	M14219	Human chondroitin/dermatan sulfate proteoglycan (PG40) core protein mRNA.	0.05
30	X02761	Human mRNA for fibronectin (FN precursor).	0.04
