Gene symbol	HUGene FL chip Large airways Normal nonsmokers	HUGene FL chip Large airways Normal smokers	Hu 133A chip Large airways Normal nonsmokers	Hu 133A chip Large airways Normal smokers	Hu 133A chip Small airways Normal nonsmokers	Hu 133A chip Small airways Normal smokers	HG-U133 Plus 2.0 chip Large airwaysNormal nonsmokers	HG-U133 Plus 2.0 chip Large airways Normal smokers
SGNE1	NA	NA	20	0	17	50	0	0
PENK	NA	NA	40	17	20	17	25	40
TAC1	NA	NA	0	17	20	0	0	0
ASCL1	0	8	NA	NA	NA	NA	0	20
NCAM1	NA	NA	0	33	20	0	25	40
CALCB	11	23	40	0	0	33	40	0
SCG2	0	4	20	66	20	83	75	100
CHGA	NA	NA	0	0	0	17	25	80
ENO2	67	62	80	66	100	100	100	60
GRP	22	85	0	17	20	33	0	60
UCHL1	0	69	0	100	0	100	0	80
