Affymetrix Probe Set Name	Difference Call	Gene Name
D29677_at	I	KIAA0054 EST
D50310_at	I	cyclin I
D79996_at	I	KIAA0174 EST
D84294_at	I	TPRDI
HG2855-HT2995_at	I	heat shock protein 70Kda
HG4036-HT4306_at	I	Retinoblastoma 1
J02923_at	I	phosphoprotein (p65)
L40391_at	I	clone s153 EST
M29064_at	I	hnRNP B1 protein
M93425_at	I	protein tyrosine phosphatase (PTP-PEST)
U28686_at	I	putative RNA binding protein RNPL
U29607_at		methionine aminopeptidase
U45955_at	I	neuronal membrane glycoprotein M6b
U49973_xpt1_at	I	MER37 putative transposase similar to pogo element from Human Tigger1
U81556_at	I	hypothetical protein A4
U90546_at	I	butyrophilin (BTF4)
U97105_at	I	N2A3
Z48633_at	I	retrotransposon
D78361_at	D	ornithine decarboxylase antienzyme
X56841_at	D	HLA-E
