Accession No.	Gene Description	UPN 1-38 Median CD38-	UPN 1-38 Median CD38+	UPN  1-38 Ratio CD38+/CD38-	UPN 1-38 P	UPN 39-77 Median CD38-	UPN 39-77 Median CD38+	UPN  39-77 Ratio CD38+/CD38-	UPN 39-77 P
D84276	CD38	79	212	2.7	.0215	67	185	2.8	.0111
D87119	Osteoblast protein	393	702	1.8	.0215	406	973	2.4	.0047
L29219	CDC-like kinase	1501	939	0.6	.0183	1662	997	0.6	.0296
J04027	ATPase	2961	1766	0.6	.0251	3313	1807	0.5	.0098
L05148	ZAP-70 kinase	1339	3177	2.4	.0001	1594	3032	1.9	.0328
L08895	MEF2C	1803	875	0.5	.0023	1039	589	0.6	.0194
M62302	GDF-1	128	243	1.9	.0423	66	139	2.1	.0296
M62994	Thyroid autoantigen	757	1270	1.7	.0423	698	1351	1.9	.0111
M97963	ISGF-3	995	1544	1.6	.0183	2159	4201	1.9	.0267
S626696	CD21	138	258	1.9	.0366	189	425	2.2	.0296
X16983	Integrin 4, CD49d	186	384	2.1	.0023	215	361	1.7	.0174
X63741	Pilot mRNA	278	77	0.3	.0050	252	49	0.2	.0019
X84373	RIP140	496	176	0.4	.0102	393	111	0.3	.0139
X89986	Apoptotic inducer	99	251	2.5	.0232	125	375	3.0	.0098
