Gene symbol	Gene name	WT/LMS	Function
Myb	Myeloblastosis oncogene	4.1	Transcription factors
Lmyc1	Lung carc. myc rel. onc. 1	7.7	Transcription factors
Nmyc1	Neuroblas. myc-rel. onc. 1	4	Transcription factors
Hoxb5	Homeobox B5	2.9	Transcription factors
Hoxb6	Homeobox B6	3.8	Transcription factors
Hoxb7	Homeobox B7	2.4	Transcription factors
Msx1	Homeobox, msh-like 1	12.8	Transcription factors
Dlx5	Distal-less homeobox 5	12.4	Transcription factors
Pax8	Paired box gene 8	24	Transcription factors
Foxa2	Forkhead box A2	15.7	Transcription factors
Gata6	GATA binding protein 6	3	Transcription factors
Klf5	Kruppel-like factor 5	3.3	Transcription factors
Sox17	SRY-box containing gene 17	7.4	Transcription factors
Crtr1-pending	Tcfcp2-rel. repressor 1	13.1	Transcription factors
Eya2	Eyes absent 2 homolog	5.6	Transcription factors
Elf3	E74-like factor 3	5.6	Transcription factors
Lisch7-pending	Liver-spec. bHLH-Zip fac	5.6	Transcription factors
Wnt4	Wingless-rel. MMTV int. site 4	3.1	Signaling molecules
Efnb2	Ephrin B2	5.1	Signaling molecules
Grb7	Growth fac. rec. bound pr. 7	3.1	Signaling molecules
Eps8	Egfr pathway substrate 8	4.2	Signaling molecules
Gpr56	G protein-coupled receptor 56	3.1	Signaling molecules
Tec	Tyr. kinase, Dscr28C related	3.5	Signaling molecules
Rgnef	Rho-guanine nuc. exch. fac.	3.2	Signaling molecules
Itga6	Integrin alpha 6	4.4	Adhesion and ECM
Itgb4	Integrin beta 4	3.4	Adhesion and ECM
Lamc2	Laminin, gamma 2	3.9	Adhesion and ECM
Tnxb	Tenascin XB	3.4	Adhesion and ECM
Cldn3	Claudin 3	8.3	Adhesion and ECM
Cldn7	Claudin 7	8	Adhesion and ECM
Icam2	Intercellular adh. molecule 2	3.6	Adhesion and ECM
Krt1-19	Keratin complex 1, acidic, 19	4.6	Adhesion and ECM
Krt2-8	Keratin complex 2, basic, 8	7.2	Adhesion and ECM
Krt1-12	Keratin complex 1, acidic, 12	3.5	Adhesion and ECM
Clu	Clusterin	3.5	Adhesion and ECM
Selenbp1	Selenium binding protein 1	3.1	Adhesion and ECM
Celsr1	Cadherin EGF LAG receptor 1	3.1	Adhesion and ECM
Cftr	Cystic fibrosis transmem. reg.	4.1	Adhesion and ECM
Casp6	Caspase 6	3.1	Other genes
Gadd45a	Growth arrest & DNA-dam45alpha	3.3	Other genes
