Case	Chromosome	Genes
IL105	-5q21q23	D5S346
IL105	-5q21q23	GPX3
IL105	-5q21q23	ADRA1B
IL105	+17q11qter	SCYA4
IL105	+17q11qter	KIAA0356
IL105	+17q11qter	ITGB3
IL105	+17q11qter	TK1
IL105	+17q11qter	H3F3B
IL105	+17q11qter	RPL27
IL105	+17q11qter	SMT3H2
IL105	+17q11qter	ACTG1
IL105	+17q11qter	KPNA2
IL105	+17q11qter	NME1
IL105	+17q11qter	NME2
IL105	+17q11qter	MSF
IL105	+17q11qter	KPNA2
IL105	+17q11qter	GCN5L2
IL105	+17q11qter	HN1
IL105	+17q11qter	PSCD1
IL105	+17q11qter	CD79B
IL105	+17q11qter	ICAM2
IL105	+17q11qter	CLTC
IL105	+17q11qter	RARA
IL105	+17q11qter	SCYA16
IL105	+17q11qter	ACLY
IL105	+17q11qter	IGFBP4
IL105	+17q11qter	STAT3
IL105	+17q11qter	TUBG2
IL105	+17q11qter	GCN5L2
IL105	+17q11qter	RPL27
IL105	+17q11qter	TK1
IL105	+17q11qter	SCYA3L1
IL105	+17q11qter	NXPH3
IL105	+17q11qter	EAP30
IL105	+17q11qter	SPAG9
IL105	+17q11qter	SFRS1
IL105	+17q11qter	SUPT4H1
IL105	+17q11qter	PRKAR1A
IL105	+17q11qter	SMARCD2
IL105	+17q11qter	MGC10986
IL105	+17q11qter	BIRC5
IL105	+17q11qter	CSNK1D
IL105	+17q11qter	SFRS2
IL105	+17q11qter	SMT3H2
IL105	+17q11qter	ALY
IL114	+1q24	RER1
IL114	+1q24	TAGLN2
IL114	+1q24	SELL
IL114	+1q24	CREG
IL114	+1q24	DKFZP564B167
IL114	+1q24	CACYBP
IL114	+2p16	PEX13
IL114	+2p16	MDH1
IL114	+2p16	XPO1
IL114	-4	FLJ20706
IL114	-4	FLJ20280
IL114	+5p12p15	PDCD6
IL114	+5p12p15	CCT5
IL114	+5p12p15	NNT
IL114	+5p12p15	RAD1
IL114	+5p12p15	SEMA5A
IL114	+5p12p15	FLJ20303
IL114	+5p12p15	TRIP13
IL114	-6q11qter	ME1
IL114	-6q11qter	TTK
IL114	-6q11qter	BACH2
IL114	-6q11qter	DKFZP564B0769
IL114	-6q11qter	KIAA0776
IL114	-6q11qter	FOXO3A
IL114	-6q11qter	NMBR
IL114	-6q11qter	SMPD2
IL114	-6q11qter	MAP3K5
IL114	-6q11qter	VNN2
IL114	-6q11qter	HIVEP2
IL114	-6q11qter	KIAA1209
IL114	-6q11qter	RNASE6PL
IL114	7	POR
IL114	7	FZD9
IL114	7	YWHAG
IL114	7	OGDH
IL114	7	SLC25A13
IL114	7	HNRPA2B1
IL114	7	MCM7
IL114	7	MDH2
IL114	7	KOC1
IL114	7	POLD2
IL114	7	PSMA2
IL114	7	PURB
IL114	7	AHR
IL114	7	GARS
IL114	7	ACTB
IL114	7	ARL4
IL114	7	DKFZP434J154
IL114	7	NUDT1
IL114	7	RAC1
IL114	7	RPA3
IL114	7	HRI
IL114	7	JTV1
IL114	7	KDELR2
IL114	7	FLJ20397
IL114	7	EIF3S9
IL114	7	RALA
IL114	7	KIAA0442
