microRNA	Probe Name	Gene Name	P-value	Coef
hsa-mir-181a-1	213423_x_at	TUSC3	0.004	-0.6
hsa-mir-181a-1	209228_x_at	TUSC3	0.004	-0.58
hsa-mir-181a-1	204905_s_at	EEF1E1	0.004	-0.48
hsa-mir-181a-1	204127_at	RFC3	0.006	-0.47
hsa-mir-181a-1	201512_s_at	TOMM70A	0.003	-0.47
hsa-mir-181a-1	204128_s_at	RFC3	0.001	-0.46
hsa-mir-181a-1	203403_s_at	RNF6	0.005	-0.46
hsa-mir-181a-1	220925_at	MAK10	0.006	-0.45
hsa-mir-181a-1	209822_s_at	VLDLR	0.007	-0.44
hsa-mir-181a-1	201821_s_at	TIMM17A	0.007	-0.41
hsa-mir-181a-1	221497_x_at	EGLN1	0	-0.41
hsa-mir-181a-1	218252_at	CKAP2	0.007	-0.39
hsa-mir-181a-1	210639_s_at	ATG5	0	-0.36
hsa-mir-181a-1	202633_at	TOPBP1	0.002	-0.36
hsa-mir-181a-1	209123_at	QDPR	0.004	-0.35
hsa-mir-181a-1	222203_s_at	RDH14	0.001	-0.35
hsa-mir-181a-1	201659_s_at	ARL1	0.002	-0.34
hsa-mir-181a-1	204831_at	CDK8	0.004	-0.34
hsa-mir-181a-1	220240_s_at	TMCO3	0.004	-0.33
hsa-mir-181a-1	214670_at	ZKSCAN1	0.01	-0.31
hsa-mir-181a-1	217883_at	C2orf25	0.002	-0.3
hsa-mir-181a-1	202511_s_at	ATG5	0.001	-0.29
hsa-mir-181a-1	201558_at	RAE1	0.008	-0.29
hsa-mir-181a-1	212692_s_at	LRBA	0.005	-0.28
hsa-mir-181a-1	205761_s_at	DUS4L	0.008	-0.27
hsa-mir-181a-1	210540_s_at	B4GALT4	0.006	-0.27
hsa-mir-181a-1	212893_at	ZZZ3	0.002	-0.27
hsa-mir-181a-1	203269_at	NSMAF	0.003	-0.26
hsa-mir-181a-1	221158_at	C21orf66	0.01	-0.16
hsa-mir-181a-1	201822_at	TIMM17A	0	0.11
hsa-mir-181a-1	210391_at	NR6A1	0.01	0.12
hsa-mir-181a-1	211171_s_at	PDE10A	0.001	0.12
hsa-mir-181a-1	336_at	TBXA2R	0	0.13
hsa-mir-181a-1	204395_s_at	GRK5	0.006	0.13
hsa-mir-181a-1	214893_x_at	HCN2	0.01	0.13
hsa-mir-181a-1	214758_at	WDR21A	0.009	0.14
hsa-mir-181a-1	207554_x_at	TBXA2R	0.01	0.15
hsa-mir-181a-1	210931_at	RNF6	0.005	0.15
