LUID	Gene Names	GenBank Accession Numbers
168903	Tgfb2	AV135894
155082	Abca3	AV055683
172111	Pdcd6	AI839826
164302	Nkd2	AV078330
159385	Tm4sf2	AV088521
168141	Scoc	AV133806
178079	Trpc4ap	BG064677
185744	5830426I05Rik	BG071724
167804	2600002E23Rik	AV109514
178349	Dab2	BG064928
166244	1200011I18Rik	AV025228
168069	Tead2	AV133669
168998	NA	AV162989
160509	Nt5m	AV103607
183471	6430570G24	BG069663
169340	Stam	AV274199
177737	Ssh1	BG064390
163440	Jup	AV013361
178493	Mat2a	BG065061
178500	Bteb1	BG065067
189303	Sgpl1	AW554387
167831	2010004O20Rik	AV111439
154353	2310043N10Rik	AV049487
181425	Prkag1	BG067722
187229	D7Wsu128e	AW548042
191084	2810457I06Rik	BG076300
179343	C77080	BG065834
619919	Erbb2	AW701942
162669	Capza2	AV005235
167381	NA	AV087319
190514	4930429H24Rik	BG075814
189370	Pdgfrb	BG074857
165362	Tm4sf12	AV016614
160906	AA536743	AV031438
164360	Dkk3	AV078491
166108	NA	AV024555
190726	Kai1	BG076000
172575	Lemd2	AI851024
169346	Reln	AV283790
153457	Tes	AV041842
189041	Creb3	BG074575
189419	Cul7	BG074903
184687	Dedd	BG070891
177695	1300004G08Rik	BG064355
166149	NA	AV024791
189066	Arhgef10	BG074599
177546	Arcn1	BG064225
186848	Mfng	BG072704
161391	NA	AV033487
161084	Fbxo34	AV032294
183449	Hexb	BG069642
169394	Crem	BB013568
170085	Slc30a3	AV042373
166400	4732495E13Rik	AV025927
168821	Dpysl4	AV029608
187964	Narfl	BG073751
151532	Fmo2	AV090482
178381	D10Ertd610e	BG064955
171603	Hook1	AA240601
157806	Trim13	AV162314
188591	Mast3	BG074204
159370	2310038H17Rik	AV088488
619637	Mmp14	AW701876
171097	Pgm3	AA038719
163432	Tbc1d16	AV013196
163448	NA	AV013313
176225	Srp19	BG063120
177699	Coro1b	BG064358
164268	Entpd3	AV078264
171819	Clic1	AI838299
157854	Cbfa2t1h	AV162276
191132	BC003324	BG076340
171694	E130112L23Rik	AA219805
151364	2310043N10Rik	AV089414
169934	Tdgf1	AV098579
187104	Hrbl	BG072928
161031	Nap1l2	AV032027
188093	Ckap4	BG073772
161679	NA	AV036591
171750	Ppm1l	AI838456
165250	Erbb2	AV086560
178592	NA	BG065157
167415	NA	AV087382
169997	Ldh2	AV032980
162216	Grcc9	AV039953
176567	Amotl1	AW537935
190812	Ihpk1	BG076067
157076	Pacs1	AV112735
189784	Foxj2	BG075205
159765	NA	AV094549
190244	2210012G02Rik	BG075610
159615	Arbp	AV093614
191129	Pot1	BG076337
619542	Rarg	AI573533
185221	Suox	BG071284
162854	Fln29	AV008200
190600	Rnf19	BG075890
152316	2010110K16Rik	AV068552
154106	Ypel1	AV043685
163112	NA	AV010442
165953	NA	AV023721
164260	Sytl2	AV078087
155863	NA	AV060665
165622	Fkbp14	AV019093
163349	1110037F02Rik	AV012650
172546	Abtb1	AI847549
167071	Gsn	AV006163
157449	1110018J12Rik	AV114423
164113	NA	AV074455
172250	Extl3	AI840748
619913	Erbb2	AW701942
170226	Spnb3	AV084201
178436	4921511I16Rik	BG065006
169025	NA	AV167058
169582	Tm4sf2	AV025678
166907	Acsl1	AV005791
154866	Arfgap3	AV054110
190152	Maged1	BG075531
191150	NA	BG076357
157131	NA	AV112983
190044	Lamb1-1	BG075439
185714	NA	BG071696
169121	NA	AV308712
159983	NA	AV094784
163348	NA	AV012504
154683	Ndrg1	AV052634
161762	Wasl	AV037429
178450	1200014P03Rik	BG065019
172682	NA	NA
168444	Flot1	AV140137
166538	Acadsb	AV028532
165714	Creb3l2	AV021105
173386	NA	NA
188048	AI447928	BG073648
163075	Ap3d1	AV010030
162559	0610031J06Rik	AV003603
168407	Cnn3	AV140128
164769	NA	AV083915
163147	Agrn	AV010859
177226	Stx4a	BG063949
170048	NA	AV040211
172454	1200013A08Rik	AI841367
157579	2300008B03Rik	AV140871
163760	Ube2g1	AV016073
160480	Cat	AV103569
161211	Ncald	AV032820
180752	Myst4	BG067089
167870	Arpc5	AV111384
160747	Ostf1	AV104549
185183	NA	BG071255
172164	Gstz1	AI839951
184020	Cldn7	BG070173
154548	Nucb2	AV051268
178361	Sec24d	BG064937
183384	1700129L13Rik	BG069579
153678	1200009F10Rik	AV042688
172177	Idh1	AI837750
168780	Gabarapl1	AV150053
156062	NA	AV072098
168552	M6prbp1	AV140321
169937	NA	AV043279
155685	Ndel1	AV059507
157700	NA	NA
168079	Anxa6	AV133689
174486	Il10rb	AI451781
184305	Anxa4	BG070448
619925	Mmp14	AW701876
619931	Mmp14	AW701876
190786	NA	BG076046
168775	D17Wsu94e	AV150002
167935	NA	AV111552
165781	Cnn2	AV021984
168337	NA	AV134088
187832	4732495E13Rik	BG073567
167318	NA	AV086980
174800	Rbl2	BE848515
155077	Fech	AV055705
162730	Eif2ak3	AV006766
184562	NA	BG070698
171104	Fgfr1	AA060259
157909	Surf4	AV170746
163088	Rasip1	AV010296
166105	1300002A08Rik	AV024553
166417	Txndc4	AV026069
163331	Rrbp1	AV012322
191104	Sh3d19	BG076318
153636	Cast	AV042503
171752	Rap1b	AI838463
620003	Serpine1	AW762928
167641	Glrx1	AV087952
172252	Creb3	AI840752
185043	Extl3	BG071142
166233	NA	AV025199
169661	Pitpnm1	AV075026
169847	NA	AV135809
172586	2900073G15Rik	AI851038
161162	Fts	AV032478
619366	NA	NA
176973	Plekhc1	BG063822
190796	Fgfr1	BG076054
160728	Slc39a13	AV104544
162300	B430104H02Rik	AV000213
161071	Tmeff2	AV032154
171125	Dbn1	AI893388
619820	Cyp4f14	AB037541
159272	Sipa1	AV088106
176829	Rrbp1	BG063628
187443	Gsn	BG073223
190813	Irs1	BG076068
169929	Dnajb3	AV039401
172479	Msrb3	AI847831
153440	NA	AV041635
165479	NA	AV017385
171005	Nt5e	AA138262
170546	Stx7	AV082000
155518	1810054O13Rik	AV058754
169333	Dpysl3	AV272267
165966	Gata1	AV024112
164257	Arfgap1	AV078086
168057	Rcn3	AV133663
171204	Rhoc	AA030895
160611	2310061B02Rik	AV104031
177727	Kctd12	BG064385
154616	P4hb	AV051789
166355	NA	AV025785
168668	Arfip1	AV140467
171098	Rhoq	AA038505
161370	NA	AV033288
157702	NA	NA
165437	NA	AV017064
160418	Ctsd	AV103190
161329	Plcd1	AV033491
619994	Angpt2	BG176309
174314	Mme	AA763715
164840	Oat	AV084172
163788	Qk	AV016338
157231	Tusc3	AV113834
190625	Timp2	BG075912
169338	Tgfbr3	AV274585
154835	3110023E09Rik	AV053846
162937	NA	AV008967
168548	NA	AV140354
167343	Gsn	AV087190
157890	NA	AV170713
166190	1200009F10Rik	AV024994
166785	NA	AV029954
171835	4933431N12Rik	AI838336
157976	Mrg2	AV171625
157901	Fkbp10	AV170885
173020	NA	NA
165040	9430079M16Rik	AV085966
168925	Anxa5	AV138849
188525	2610001E17Rik	BG074158
166002	Fstl1	AV024220
166509	Emp2	AV026310
169223	Gsn	AV005808
166061	Traf4	AV024412
169005	NA	AV163403
187546	Fstl1	BG073316
170831	Styx	AA017923
176893	Mpzl1	BG063682
190467	Col6a1	BG075779
155576	Derl1	AV059263
187747	Ankrd25	BG073500
164395	Sytl2	AV078474
166637	NA	AV028984
163597	9430020K01Rik	AV014918
158032	Rcn3	AV171891
175418	Fgfr1	AW910708
619988	Angpt2	BG176309
154637	Asb3	AV051865
154598	NA	AV051550
185845	NA	BG071817
178016	E430025E21Rik	BG064619
161414	Aplp2	AV033726
161696	Gsn	AV036580
154493	Chd9	AV050650
167163	Hspb7	AV006242
168952	Pthr1	AV145718
619478	Spry4	AA499432
163560	Pacs1	AV014453
187771	NA	AW550115
171872	Thbs1	AI838607
169502	Ly6a	AV002102
168059	Tagln3	AV133664
164954	Cept1	AV084454
170630	Aplp2	AV147516
164083	Scamp1	AV074463
189259	Dst	BG074773
164905	Pls3	AV084443
155331	NA	AV057482
170091	NA	AV050254
189018	2310021P13Rik	BG074555
176422	Nfe2l1	BG063290
163664	Sec23a	AV015244
163243	Dlgh1	AV011563
167177	Sorbs1	AV006272
619739	Arf4	W80168
186827	Agrn	BG072686
163383	Npc1	AV012796
157399	NA	AV114302
188083	Col18a1	AW551397
165954	Mtvr2	AV023779
163553	Zbtb17	AV014493
189582	Sdc2	BG075031
619411	Lip1	NM_021460
185150	Tgfb1i4	BG071229
187050	Fn1	BG072878
154775	Gpsm1	AV053340
171987	Acta2	AI838959
165729	Sept8	AV021055
152764	NA	NA
191071	Rab6ip2	BG076289
154581	Papss2	AV051514
162370	NA	AV001304
160708	Serpinh1	AV104522
169967	Elavl1	AV066211
164763	Dctn2	AV083792
166165	Plxdc2	AV024845
155325	NA	AV057617
155648	Rhoa	AV059592
186294	Litaf	BG072227
187259	Spna2	BG073064
163535	1810045K07Rik	AV014233
161680	Plac1	AV036603
152554	Cd200	AV070419
168521	Surf4	AV140284
161551	NA	AV034780
164402	Sdcbp	AV078596
188646	Tulp4	AW552694
169728	Pitx2	AV090404
163458	NA	AV013452
153851	4930544G11Rik	AV043060
169643	NA	AV064256
174582	Il10rb	AI451781
180032	Spg20	BG066433
151481	Pps	AV090255
168247	2810489O06Rik	AV133995
154751	Lifr	AV053088
167036	Serpinh1	AV006104
619455	Fn1	AA673390
167029	Actc1	AV006075
165295	4933409N07Rik	AV086751
161503	NA	AV034106
188862	Itgb1	BG074422
155138	BC017643	AV056256
167857	Ssr3	AV111354
167678	Cnn2	AV109355
151967	NA	AV062856
164594	Stx12	AV083419
155546	NA	AV058843
167794	Pltp	AV109450
161267	Cav2	AV033111
186949	Plcd1	BG072790
189991	BC011468	BG075394
167724	NA	AV109435
151379	AI642036	AV089488
161745	NA	AV037105
164869	2610311I19Rik	AV084191
171543	Itgb1	AA163412
187933	P4hb	BG073729
186644	Slc30a7	BG072527
185408	Epim	BG071435
167943	Sara1	AV111469
187917	NA	AW550680
170362	Col18a1	AV112006
167111	Actc1	AV006201
165776	Litaf	AV021829
172118	Yif1	AI839766
160030	Nkiras2	AV094996
167150	Tmed3	AV006232
157777	Lamb1-1	AV162293
166838	NA	AV030333
178140	Itm1	BG064732
166635	NA	AV028879
189959	0610039A15Rik	BG075364
172078	Tmed3	AI841677
189956	Lrp1	BG075361
154605	Tmed3	AV051598
186440	Wdfy1	BG072366
184510	Edem1	BG070646
165947	Pgm3	AV023826
190447	Psap	BG075767
189525	AA415817	AW554943
171499	Sdc2	AA106952
189605	Stx17	BG075049
188664	NA	AW552736
154645	Efhd2	AV051930
189602	Golga2	BG075046
171044	Rnf123	AI322967
157932	NA	AV171045
161338	Pex19	AV033318
619997	Serpine1	AW762928
164778	Gnpda1	AV083934
160445	AW490415	AV103510
165986	Col5a1	AV024091
186536	Wwp2	BG072455
190140	Cdw92	BG075520
164248	1110018D06Rik	AV078040
157109	Nckap1	AV112853
167507	Slc30a6	AV087771
182539	2810439F02Rik	BG068764
190597	Wsb2	BG075887
619532	Rbl2	BE628521
180492	Serf2	BG066855
188173	Ppt1	BG073841
168318	Calr	AV134243
154309	Bex2	AV049161
166504	Macf1	AV026320
158054	Cd81	AV171867
167173	Mbc2	AV006289
189079	Copg2	BG074611
187963	P4hb	BG073750
153034	NA	AV108944
178898	Xpnpep1	BG065436
187423	Wdfy3	BG073204
190406	Rai14	BG075734
154859	NA	AV053839
163260	Snap23	AV011695
165309	Acta1	AV086800
177260	Capg	BG063978
159300	NA	AV088358
161148	Prnp	AV032500
154086	Ntan1	AV043591
151415	Cd34	AV089675
155565	NA	AV059238
188300	Ttc15	AW551962
172357	Anxa2	AI840663
163424	Pdgfrl	AV013190
187013	Sgce	BG072850
187903	Dbn1	BG073710
167565	Cbr2	AV087823
188913	Lmo7	BG074464
181813	NA	AU021887
163258	Vcl	AV011931
186919	Ifngr2	BG072764
170838	Tead1	AA021906
165471	5033403D15Rik	AV017203
172321	Gnaq	AI840584
165203	Scotin	AV086327
187717	Stau1	BG073475
169194	NA	AV227595
178933	Catnb	BG065470
166024	Dnajc10	AV024168
618864	NA	NA
164146	Cd164	AV074612
185156	NA	AU040439
188916	Spag9	BG074467
159372	2310038H17Rik	AV088562
190010	1110028E10Rik	BG075411
190890	NA	AW558227
185542	Tram1	BG071551
160887	Prnp	AV031173
164392	Cnn1	AV078563
157188	Sybl1	AV113528
176762	NA	AW538365
161712	Btd	AV036717
170844	Pea15	AA108330
168547	Rhoc	AV140333
173943	NA	NA
165175	NA	AV086515
173322	NA	NA
169289	Sec23a	BB569625
173423	NA	NA
162022	NA	AV039374
156077	NA	AV072130
162460	Mgst3	AV002412
189802	NA	BG075219
164735	2310032D16Rik	AV083857
170127	Ppox	AV056163
189814	Atrnl1	BG075229
160415	Bat5	AV103281
159364	NA	AV088487
168101	0610039A15Rik	AV133782
182038	D8Ertd594e	BG068292
163727	1110055E19Rik	AV015706
164166	D4st1	AV074803
166754	NA	AV029740
182493	2510002A14Rik	BG068718
157672	Smurf2	AV141442
164853	Cdh13	AV084140
166870	Bcl10	AV030474
188131	Nisch	BG073805
188764	1110067M05Rik	BG074339
165252	Ches1	AV086597
169186	NA	AV226093
157541	Sgce	AV135859
619491	Acta2	AA815993
185252	Clic4	BG071310
184648	Arl1	BG070777
168293	Xpnpep1	AV134200
164943	Dpysl3	AV084594
170668	Col11a1	AV161732
162018	Camk2g	AV039195
165442	Ablim2	AV017106
188284	LOC114601	BG073936
180238	Xpnpep1	BG066538
183812	Spp1	BG070062
161592	Prrg2	AV035311
188946	Stch	BG074493
167866	2610001E17Rik	AV111356
155513	NA	AV058524
188492	Pdcd4	BG074118
187147	NA	AW547621
172364	Sara2	AI840674
166995	Ccng1	AV006046
187186	Pcdhga12	BG073000
168803	X83328	AV150061
178489	Igf2bp1	BG065057
168320	Spg21	AV134215
176458	Itm1	BG063317
186273	Isg20	BG072206
163875	Htatip2	AV073688
190030	Rab11fip5	BG075427
173836	NA	NA
164959	Sdc2	AV084482
154575	Pofut2	AV051365
168692	NA	AV149973
186977	Lpp	BG072815
160347	NA	AV103043
154514	Sara1	AV050845
157825	Pbx3	AV162239
175297	Ptgs1	AA163320
160403	NA	AV103186
164061	Rasef	AV074570
171566	D030011O10Rik	AI627130
174752	Actb	AI132244
186323	Tgfbr2	BG072254
155643	NA	AV059445
169326	Ptgis	AV256013
166127	3732412D22Rik	AV024662
179311	Waspip	BG065802
178218	Cln2	BG064807
190454	Sipa1l1	BG075771
169218	Fdft1	AV005798
185233	Atp11a	BG071292
180008	Serpine2	BG066411
160940	Hsd3b7	AV031647
163910	NA	NA
155765	1810061M12Rik	AV060180
161569	NA	AV035088
167010	Tmed3	AV006054
165390	Col11a2	AV016910
619781	Zfp35	X17617
155872	Lyn	AV061059
619167	NA	NA
164539	C1r	AV083238
166624	NA	AV029129
186206	Myd88	BG072146
162954	Col11a2	AV009220
164193	NA	AV077895
166619	Gnas	AV029097
155210	NA	AV056755
151590	NA	AV084703
182566	2310032D16Rik	BG068791
