UUID1	UUID2	Interaction confidence
SFRS2	FUS	1.000
UQCRFS1	NDUFS1	0.974
HIATL1	HIAT1	0.941
UQCRFS1	GOT2	0.909
GOT2	TUFM	0.900
UQCRFS1	RRAGA	0.892
UQCRFS1	PDHA1	0.878
GOT2	NDUFS1	0.876
PMVK	RNH1	0.859
PHKB	NDUFS1	0.850
PDHA1	NDUFS1	0.848
GOT2	PDHA1	0.845
HLA-DMB	TNFAIP2	0.836
TARDBP	SFRS2	0.827
NDUFS1	MAD2L1BP	0.794
ACAT2	FDPS	0.793
GOT2	FDPS	0.778
FUBP1	SFRS2	0.774
NDUFS1	FDPS	0.767
GHITM	NDUFS1	0.766
UQCRFS1	MAD2L1BP	0.755
FUBP1	TARDBP	0.754
UQCRFS1	SFRS2	0.753
SFRS2	HNRPH1	0.746
GOT2	SFRS2	0.744
NDUFS1	SFRS2	0.741
DISC1	LAIR2	0.737
SFRS2	ACAT2	0.723
UQCRFS1	TUFM	0.713
LAIR2	MFNG	0.711
TARDBP	HNRPH1	0.710
ADSS	HSPA4	0.699
HLA-DMB	SYK	0.691
UQCRFS1	FDPS	0.691
HLA-DMB	LAIR2	0.683
NDUFS1	HSPA4	0.664
TERF2IP	RRAGA	0.661
FUBP1	NDUFS1	0.660
PSEN1	KIAA0317	0.657
PSME2	FDPS	0.656
PDHA1	TUFM	0.656
ADSS	NUP50	0.656
TUFM	FDPS	0.650
PDHA1	SFRS2	0.648
SGSH	TNFAIP2	0.643
CAMK1	TNFAIP2	0.641
TUFM	MBTPS1	0.631
PHKB	COG5	0.629
TARDBP	FDPS	0.626
PHKB	GOT2	0.623
FUBP1	FUS	0.623
NELL2	DISC1	0.622
TARDBP	NDUFS1	0.620
TPP2	NDUFS1	0.617
CAMK1	MAP4K2	0.617
UQCRFS1	MFN2	0.613
GPR44	SNX15	0.608
TPP2	HSPA4	0.607
FUBP1	OGT	0.606
NDUFS1	ADSS	0.603
WWP1	MAD2L1BP	0.601
PHKB	RRAGA	0.601
NDUFS1	RRAGA	0.600
GOT2	TARDBP	0.599
NDUFS1	TUFM	0.586
PMVK	TUFM	0.583
PHKB	TERF2IP	0.580
HLA-DMB	MFNG	0.577
PHKB	GHITM	0.574
TUFM	FUS	0.574
PMVK	FDPS	0.572
OGT	HNRPH1	0.569
SFRS2	MSH6	0.567
DERA	CMAS	0.567
PMVK	NDUFV3	0.567
DISC1	MFNG	0.562
PMVK	GOT2	0.560
LAIR2	FGD2	0.559
SULT1A3	MAP4K2	0.559
DAPK3	MAP4K2	0.558
PMVK	CAMK1	0.557
FUBP1	HNRPH1	0.556
SFRS2	ADSS	0.555
FDPS	MLX	0.552
GPR44	DISC1	0.547
DAPK3	SLC39A7	0.545
SULT1A3	PQLC3	0.545
PQLC3	LAIR2	0.545
SFRS2	HSPA4	0.541
NELL2	LAIR2	0.541
NDUFS1	CMAS	0.537
FUBP1	TPP2	0.533
GHITM	NDFIP1	0.532
SFRS2	FDPS	0.528
DERA	NDUFS1	0.526
GOT2	ACAT2	0.524
SYK	TNFAIP2	0.522
DISC1	PIAS2	0.522
HNRPH1	MSH6	0.522
TOR3A	ABT1	0.519
TARDBP	OGT	0.514
NELL2	TOM1L2	0.514
FUBP1	ADSS	0.513
MAD2L1BP	TFG	0.512
TUFM	RNH1	0.511
CMAS	ADSS	0.509
PMVK	SLC39A7	0.506
KIAA0913	TOM1L2	0.506
OGT	NUP50	0.506
PDHA1	ACAT2	0.503
NELL2	GPR44	0.502
PDHA1	FDPS	0.500
