Acc. no.a	Symbol	Gene name	Fold changeb
W31016	IL6	Interleukin 6 (interferon, beta 2)	-3.4+/-1.1
W24348	IL11	Interleukin 11	-3.7+/-1.7
W47225	IL1B	Interleukin 1, beta	-2.5+/-1.0
AA149475	IFNAR2	Interferon (alpha, beta and omega) receptor 2	-7.6+/-1.7
W23815	IFNGR2	Interferon gamma receptor 2 (interferon gamma transducer 1)	-2.2+/-0.8
W31707	IL1R1	Interleukin 1 receptor, type I	-1.8+/-0.4
AA125917	IL1RL1	Interleukin 1 receptor-like 1	-1.4+/-0.3
N34004	STAT6	Signal transducer and activator of transcription 6 (IL-4 induced)	-7.6+/-5.6
AA042836	IRF2	Interferon regulatory factor 2	-3.4+/-1.5
AA011445	CASP3	Caspase 3, apoptosis-related cysteine protease	-2.7+/-1.2
H49853	IFITM1	Interferon induced transmembrane protein 1 (9–27)	-2.6+/-0.8
N31546	IFI16	Interferon, gamma-inducible protein 16	-2.3+/-1.5
AA131850	GBP2	Guanylate-binding protein 2, interferon-inducible	-2.1+/-0.8
R34567	OAS2	20–50 oligoadenylate synthetase 2 (69–71 kD)	-2.0+/-1.2
W52254	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	-2.0+/-1.3
T97408	BAG1	BCL2-associated athanogene	-1.8+/-0.1
