Fold change	Common name	GenBank acc.
32.14	Sema4C	NM_017789
31.11	PTPN2	AI828880
30.98	CIRBP	NM_001280
30.55	CALM1	NM_006888
30.09	EEF1D	NM_001960
23	RAP2B	AW005535
22.99	SNAG1	AU146771
22.9	TMEM123	BG538627
22.72	KNS2	AF222691
22.68	PIGR	AA838075
18.44	C4ORF7	AI718421
18.42	PDLIM4	AI254547
18.4	LRRFIP1	AF130054
18.23	KLHL9	AA460694
18.2	RPL5	BF214492
13	UCP2	U94592
12.96	ALDH9A1	NM_000696
12.93	NF1B	AI7000518
12.9	FOXP1	AW080845
12.9	SLC25A37	N63920
8.32	Ki67	NM_002417
8.18	SIDT2	AA150165
8.18	LDOC1L	AL136553
8.16	SPEN	NM_015001
8.15	RPL39	BC001019
8.16	LTBP2	NM_000428
6.21	FLT4	NM_182925
5.96	KIAA0240	D87077
5.96	NM_1	NM_004688
5.95	PIGR	AA838075
