LUID	Gene Names	Accession Numbers
171819	Clic1	AI838299
151835	Tce1	AV085566
185506	Pdzk3	BG071525
178051	Maea	BG064652
152610	Cdkn2b	AV083695
162795	NA	AV007130
190148	Lrig3	BG075528
161536	Stat2	AV034531
190244	2210012G02Rik	BG075610
168621	Ngfrap1	AV140540
191084	2810457I06Rik	BG076300
175111	NA	AI019851
159370	2310038H17Rik	AV088488
157791	Slitl2	AV162160
164268	Entpd3	AV078264
188287	NA	AW551937
176827	Socs3	BG063626
155276	NA	AV057397
189303	Sgpl1	AW554387
178027	Cald1	BG064630
170793	9130229H14Rik	AI385644
184348	E430025E21Rik	BG070490
176686	Nrk	BG063511
172114	Selk	AI839834
151560	NA	AV084863
177280	Surf4	BG063996
188578	Maged2	BG074195
171514	Rras	AA123466
172250	Extl3	AI840748
174486	Il10rb	AI451781
165866	Nisch	AV022987
152327	NA	AV068233
172320	Stim1	AI840583
161790	NA	AV037303
184337	Selk	BG070480
165101	Sec24d	AV086235
154755	0610009H04Rik	AV053184
190671	Usp33	BG075953
168065	0610009H04Rik	AV133694
190746	Anxa7	BG076013
152339	Selk	AV068625
173353	NA	NA
190535	C330002I19Rik	BG075834
169025	NA	AV167058
171850	Rg9mtd1	AI838568
172256	Rbm9	AI840760
163514	AI464131	AV014011
181319	Cnn3	BG067618
157131	NA	AV112983
164838	Selk	AV084246
170766	Efna2	AA036231
164285	Golgb1	AV078231
167792	Ube1dc1	AV109653
169009	Elk3	AV165028
171657	Ptprn2	AA216971
151547	Ubl4	AV084743
177947	Arhgap1	BG064563
151548	NA	AV084807
164113	NA	AV074455
159506	Nucb2	AV088792
171505	Cyb5	AA111239
166366	Anxa7	AV025718
168407	Cnn3	AV140128
172546	Abtb1	AI847549
172022	Sec31l1	AI838735
163776	Ablim1	AV016274
155863	NA	AV060665
153678	1200009F10Rik	AV042688
186533	Creb3l2	BG072452
170226	Spnb3	AV084201
184020	Cldn7	BG070173
185978	Nbr1	BG071938
169661	Pitpnm1	AV075026
619931	Mmp14	AW701876
169121	NA	AV308712
160480	Cat	AV103569
176754	Blcap	BG063565
155152	Eif2b2	AV056200
171328	Smarca3	AA123821
159983	NA	AV094784
168250	NA	AV133924
166907	Acsl1	AV005791
152171	NA	AV067120
178450	1200014P03Rik	BG065019
191004	Cat	BG076235
168444	Flot1	AV140137
163883	Ccnl1	AV073579
168128	Cald1	AV133784
166856	Tde2	AV030103
190282	Smad3	BG075644
160728	Slc39a13	AV104544
180521	Lpp	BG066879
188368	Pknox1	BG074008
165968	9130229H14Rik	AV024030
171752	Rap1b	AI838463
155809	0610009H04Rik	AV060349
190285	Ccni	BG075647
190264	Anxa7	BG075628
185244	Xbp1	BG071303
177702	Gprc5c	BG064361
165821	6530401C20Rik	AV022456
153380	NA	AV041447
171454	Prkar1b	AI385716
619051	NA	NA
189947	Zfyve21	BG075353
154990	Pold4	AV055152
165707	NA	AV020944
168510	Ddah2	AV140375
186603	Golgb1	AU042952
165622	Fkbp14	AV019093
157875	NA	AV162436
179747	Ap3b1	BG066191
176945	Spnb2	BG063800
160616	Ltb4dh	AV103969
174376	Snap23	AW989643
159275	NA	AV088052
154683	Ndrg1	AV052634
167099	Ilk	AV006158
168722	Pja2	AV149840
166105	1300002A08Rik	AV024553
167004	Eno3	AV006060
169495	Mcrs1	AV001624
161450	Tde1	AV033573
168993	Nab2	AV155521
188964	Snx4	BG074509
188059	NA	BG073659
155704	NA	AV059754
153365	Rshl2	AV041475
186539	Pink1	BG072458
167817	Dp1	AV111377
159907	Snapc4	AV094673
169907	NA	AV094706
163075	Ap3d1	AV010030
178696	Cyb5	BG065259
155214	H47	AV056815
168079	Anxa6	AV133689
187498	Gnai2	BG073274
162150	Rai14	AV039736
182864	AU024582	BG069075
163939	NA	NA
163348	NA	AV012504
177229	Wdr26	BG063952
168552	M6prbp1	AV140321
190152	Maged1	BG075531
167071	Gsn	AV006163
170130	NA	AV057609
185753	NA	BG071731
160091	Sra1	AV095030
178408	Nfkbia	BG064981
163088	Rasip1	AV010296
154674	3321401G04Rik	AV052169
155795	Arfgap3	AV060319
155330	1810046J19Rik	AV057561
154369	2310004K06Rik	AV049663
154548	Nucb2	AV051268
178306	BC003940	BG064888
161519	Anxa2	AV034307
157449	1110018J12Rik	AV114423
163495	S100a13	AV013830
154617	Fyn	AV051790
619360	NA	NA
164260	Sytl2	AV078087
168187	Dnpep	AV133825
167337	NA	AV087195
160522	BC054822	AV103742
154803	NA	NA
171874	Emp1	AI838613
176145	Sepx1	BG062960
170072	Gfpt1	AV042071
172454	1200013A08Rik	AI841367
162475	Cyb5	AV002506
162300	B430104H02Rik	AV000213
189296	Dncic2	BG074802
164905	Pls3	AV084443
167100	NA	AV006181
166776	NA	AV029866
164743	Fhl2	AV083928
182322	1110003E01Rik	BG068553
155037	Ostf1	AV055544
190742	Idb3	AW557873
172517	Dpp3	AI847886
151933	NA	AV032030
181687	1110020C13Rik	BG067962
162902	Col14a1	AV008630
159240	Decr1	AV088048
184140	0610009H04Rik	BG070290
151979	Ndrg4	AV030132
174310	S100a6	AA608500
172368	Spnb2	AI840676
175277	Elk3	BE624428
163443	1810009M01Rik	AV013352
151510	Glcci1	AV090250
154866	Arfgap3	AV054110
162691	Sepx1	AV005569
177145	Nucb2	BG063795
171635	Slc25a10	AA199557
190676	Taok1	BG075958
155117	Gpsm1	AV055905
171157	Idh1	AI327112
155157	Unc50	AV056404
185148	1600029D21Rik	BI076418
169096	Mtap1b	AV300837
165753	NA	AV021649
186464	1810009M01Rik	BG072387
165772	NA	AV021942
619580	Casp3	BE284569
167870	Arpc5	AV111384
619177	NA	NA
164261	Crot	AV078063
176075	Hdlbp	BG063068
165248	Flna	AV086679
185000	Ralb	BG071101
157583	2310008M10Rik	AV140878
175043	Flt4	AA285905
161695	Sara1	AV036474
151301	NA	NA
168322	2810004A10Rik	AV134058
163349	1110037F02Rik	AV012650
618671	Pep4	U51014
167650	Anxa5	AV087971
184411	Il6st	BG070551
154616	P4hb	AV051789
184350	Synpr	BG070492
172479	Msrb3	AI847831
169187	Pbx3	AV228222
190032	Fgfr2	BG075429
171204	Rhoc	AA030895
154774	Pscd3	AV053270
171098	Rhoq	AA038505
171872	Thbs1	AI838607
163664	Sec23a	AV015244
165175	NA	AV086515
160611	2310061B02Rik	AV104031
619545	Cdkn2b	BE306547
167857	Ssr3	AV111354
169194	NA	AV227595
161917	Rab11a	AV038394
166393	NA	AV025861
166785	NA	AV029954
167464	NA	AV087503
176422	Nfe2l1	BG063290
156077	NA	AV072130
155015	Vkorc1	AV055512
174493	Foxc1	AI415347
157280	Spna2	AV114008
188131	Nisch	BG073805
170553	Anxa8	AV084987
167943	Sara1	AV111469
169929	Dnajb3	AV039401
170091	NA	AV050254
169333	Dpysl3	AV272267
170831	Styx	AA017923
172876	NA	NA
164402	Sdcbp	AV078596
166922	Arf1	AV005802
190010	1110028E10Rik	BG075411
168912	NA	AV138759
155038	Nsddr	AV055349
190813	Irs1	BG076068
187546	Fstl1	BG073316
161370	NA	AV033288
164088	1600020H07Rik	AV074385
166617	Cttn	AV028955
188672	Cklfsf3	AW552763
169338	Tgfbr3	AV274585
187147	NA	AW547621
155648	Rhoa	AV059592
154637	Asb3	AV051865
176987	Pcyox1	BG063831
166002	Fstl1	AV024220
165479	NA	AV017385
189259	Dst	BG074773
154086	Ntan1	AV043591
154540	Serpinb6a	AV051051
171521	Dstn	AA116762
174356	S100a11	AI120763
174589	Foxc1	AI415347
174664	Plat	AA426892
176980	2310061B02Rik	BG063824
167740	Actb	AV109256
151690	Rab8a	AV085072
164987	Acta1	AV085882
181160	Apbb2	BG067463
159320	Taz	AV088403
168668	Arfip1	AV140467
157901	Fkbp10	AV170885
181216	Rragc	BG067517
154651	Zfyve21	AV052337
165274	Slc25a11	AV086774
164840	Oat	AV084172
184648	Arl1	BG070777
162905	Jundm2	AV008662
619478	Spry4	AA499432
157399	NA	AV114302
154974	Mospd2	AV054924
165437	NA	AV017064
164005	Ostf1	AV074353
160116	Rpn2	AV094872
154511	Gstm7	AV050891
179095	Serpinb6c	BG065606
172780	NA	NA
161680	Plac1	AV036603
170557	Ext1	AV085276
151877	1810046J19Rik	AV085707
167908	NA	AV111523
164825	Cav1	AV084274
186509	5730409F24Rik	BG072430
164660	NA	AV083692
185171	Cbr2	BG071245
166235	NA	AV025172
176969	Vps33a	AW538970
166061	Traf4	AV024412
167921	NA	AV111480
168059	Tagln3	AV133664
155518	1810054O13Rik	AV058754
165966	Gata1	AV024112
172357	Anxa2	AI840663
174148	NA	NA
181669	Crim1	BG067947
171208	Arf1	AA034812
171443	Galnt2	AI893181
171005	Nt5e	AA138262
186536	Wwp2	BG072455
153851	4930544G11Rik	AV043060
176554	Glg1	BG063392
154581	Papss2	AV051514
170860	Atp6v1b2	AA139822
164068	Surf4	AV074505
167036	Serpinh1	AV006104
165089	1200003C05Rik	AV086189
154514	Sara1	AV050845
187933	P4hb	BG073729
157109	Nckap1	AV112853
166354	Zhx1	AV025760
153440	NA	AV041635
187013	Sgce	BG072850
164954	Cept1	AV084454
168548	NA	AV140354
157034	D10Ertd610e	AV095540
190231	Mpp1	BG075599
153034	NA	AV108944
190291	NA	AW556716
190406	Rai14	BG075734
190467	Col6a1	BG075779
187771	NA	AW550115
166635	NA	AV028879
190169	Slc14a1	BG075546
169005	NA	AV163403
160486	Emp3	AV103733
155331	NA	AV057482
151379	AI642036	AV089488
164166	D4st1	AV074803
163258	Vcl	AV011931
151415	Cd34	AV089675
186440	Wdfy1	BG072366
165223	Ctgf	AV086573
154493	Chd9	AV050650
174582	Il10rb	AI451781
152044	NA	AV062429
188916	Spag9	BG074467
163627	Tulp4	AV015077
172421	Tde1	AI841319
169093	Srp54	AV300786
154359	Fbxo25	AV049438
154605	Tmed3	AV051598
171190	Rhoa	AA008793
161551	NA	AV034780
182801	C030046E11Rik	BG069015
162886	Copz2	AV008498
190555	Sept2	BG075848
151758	Naglu	AV085269
164909	2310008M10Rik	AV084553
165954	Mtvr2	AV023779
170844	Pea15	AA108330
163732	NA	AV015880
172905	NA	NA
157231	Tusc3	AV113834
619411	Lip1	NM_021460
152764	NA	NA
163692	1110059H15Rik	AV015426
156949	Ankfy1	AV065540
154794	Atp6v0e	AV053448
171987	Acta2	AI838959
185252	Clic4	BG071310
170723	NA	AV046355
174965	Pbx3	W45920
163828	Ogdh	AV073489
166803	Praf2	AV029981
155045	NA	AV055528
164910	Apbb2	AV084427
166956	Atp2a2	AV006023
184968	Mbc2	BG071070
173698	NA	NA
166003	Bmp6	AV024226
619116	NA	NA
160418	Ctsd	AV103190
188022	Tmem4	BG073625
181813	NA	AU021887
185762	Unc84a	BG071740
164257	Arfgap1	AV078086
165941	2900042B11Rik	AV023772
157702	NA	NA
168844	NA	AV105953
186834	2900041A09Rik	BG072693
167163	Hspb7	AV006242
176677	Sara1	BG063504
165203	Scotin	AV086327
188862	Itgb1	BG074422
187259	Spna2	BG073064
168925	Anxa5	AV138849
185125	Dap	BG071212
186074	Mta3	BG072029
188605	NA	AW552588
184813	Anxa3	BG070839
189829	2210404D11Rik	BG075242
166309	NA	AV025608
172451	Syt11	AI841363
163987	NA	AV074074
159300	NA	AV088358
157491	Diap1	AV134828
170828	Rcn1	AA016913
619535	Smad5	BE532435
187571	4921524J06Rik	BG073340
174752	Actb	AI132244
181246	2600010E01Rik	BG067547
165178	Txndc9	AV086461
189079	Copg2	BG074611
619586	Tagln	BF537989
160180	2410004H05Rik	AV095146
157636	NA	AV141211
169502	Ly6a	AV002102
180492	Serf2	BG066855
169643	NA	AV064256
168547	Rhoc	AV140333
170546	Stx7	AV082000
173020	NA	NA
166190	1200009F10Rik	AV024994
187336	Clic1	BG073116
188207	Copa	BG073868
165917	Msrb3	AV023601
157444	NA	AV114585
174700	AI451006	AA870557
619994	Angpt2	BG176309
168057	Rcn3	AV133663
178117	NA	BG064712
619490	Nkx2-5	AA530575
152606	NA	AV082972
164600	NA	AV083461
159287	NA	AV088097
179857	NA	BG066283
160247	Porcn	AV095245
172646	Sdc2	AI854113
180180	Parp8	BG066648
167565	Cbr2	AV087823
171475	Nab2	AA050579
163243	Dlgh1	AV011563
164594	Stx12	AV083419
154654	Sh3bgrl3	AV052242
186695	Pex19	BG072565
182058	Suv39h2	AU022550
160461	Atp6v0d1	AV103514
183791	Mylk	BG070044
165729	Sept8	AV021055
168101	0610039A15Rik	AV133782
188126	2410004H05Rik	BG073802
165881	Rhoq	AV023204
186629	Gstm7	BG072517
183176	Antxr1	BG069464
152296	0610006I08Rik	AV066162
190561	Axl	BG075854
185156	NA	AU040439
177299	Tram1	BG064012
152295	Pim1	AV066924
171877	Sec61a1	AI838624
162493	NA	AV002895
157541	Sgce	AV135859
161712	Btd	AV036717
619491	Acta2	AA815993
186768	5033406L14Rik	BG072631
160348	Atp6v0e	AV103081
169612	Mapk7	AV140545
183595	Hsd17b4	BG069782
188976	0610009H04Rik	BG074519
180887	Litaf	BG067215
176893	Mpzl1	BG063682
176858	1810045K07Rik	BG063656
179275	Foxo3	BG065768
174368	Actb	AI132244
183745	Ppm1a	AU021253
170221	Pdha1	AV084574
188977	NA	AW553523
165547	NA	AV018091
186294	Litaf	BG072227
166610	NA	AV028953
154775	Gpsm1	AV053340
190459	Shc1	BG075774
160852	Arf2	AV030860
158054	Cd81	AV171867
184641	3110002H16Rik	BG070770
170853	Tjp1	AA122889
177448	NA	AW543494
174392	Hsd17b4	AW323058
190398	Dnajb9	BG075729
151343	Cai	AV089105
619332	Actb	X03672
169271	Ap2a2	AV303722
184510	Edem1	BG070646
189308	Sec31l1	BG074808
161696	Gsn	AV036580
178140	Itm1	BG064732
189582	Sdc2	BG075031
154570	Litaf	AV051386
161745	NA	AV037105
182163	Dp1	AU022809
183218	Cdh1	BG069329
188027	Anxa2	BG073630
168803	X83328	AV150061
160415	Bat5	AV103281
619636	Cdkn2c	AA110227
187708	A630082K20Rik	BG073466
170812	Vcl	AI385712
163520	NA	AV013952
172737	NA	NA
165040	9430079M16Rik	AV085966
179779	Eef1a1	C78483
164805	Jak1	AV084129
167602	Acta1	AV087827
166592	NA	AV028736
189525	AA415817	AW554943
167111	Actc1	AV006201
155337	App	AV057752
163835	NA	NA
152628	Cd200	AV083006
166829	Yif1	AV030269
162964	Ptprs	AV009286
155074	Golph3l	AV055723
160411	Ptpn23	AV103280
160765	Akt2	AV030525
165222	Ddhd2	AV086524
169835	NA	AV141119
180791	Abhd4	BG067124
155210	NA	AV056755
170362	Col18a1	AV112006
159395	Bcap31	AV088565
183643	Ap3s1	BG069828
188083	Col18a1	AW551397
177469	Anxa5	BG064165
171173	Copz2	AA002476
163788	Qk	AV016338
179278	Tpm1	BG065771
165986	Col5a1	AV024091
163597	9430020K01Rik	AV014918
164182	Acta2	AV077899
155851	Dap	AV060478
167866	2610001E17Rik	AV111356
190625	Timp2	BG075912
187317	NA	AW548385
165962	D030029J20Rik	AV023845
162018	Camk2g	AV039195
171683	Pten	AA218098
169906	NA	AV093417
157976	Mrg2	AV171625
181591	Arfgap3	BG067878
181346	9430063L05Rik	BG067645
188901	Tde1	BG074452
164395	Sytl2	AV078474
186588	Parva	AU042898
174314	Mme	AA763715
156978	NA	AV093314
167343	Gsn	AV087190
163844	NA	AV073495
166967	Acadl	AV006037
161182	Cltc	AV032647
165618	NA	AV019142
176392	Elf1	BG063265
154751	Lifr	AV053088
166372	Stxbp1	AV025722
186290	Dst	BG072223
177109	9130427A09Rik	BG063765
162347	Agpat2	AV000834
166600	Gabarap	AV029091
190433	Cd81	BG075757
618962	Fn1	M18194
165684	NA	AV020344
187747	Ankrd25	BG073500
164061	Rasef	AV074570
157972	NA	NA
188380	Fyn	BG074018
183562	Mthfr	BG069750
151515	Rasa3	AV090329
154566	Chst2	AV051234
164959	Sdc2	AV084482
163618	Lox	AV014751
188222	Adipor1	BG073880
164083	Scamp1	AV074463
151855	Ptprf	AV085704
158032	Rcn3	AV171891
179780	Eef1a1	C78484
187963	P4hb	BG073750
186323	Tgfbr2	BG072254
167746	NA	AV109566
191024	Mgst3	BG076253
188990	Lphn2	BG074531
163606	Mgll	AV014878
177197	Ndrg3	BG063924
181657	3200001F09Rik	BG067938
156957	NA	AV065496
185786	Rab9	BG071759
176905	2600002E23Rik	BG063691
165299	Ramp1	AV086876
162671	Scamp2	AV005287
189601	Stat6	BG075045
179514	2900064A13Rik	BG065981
168878	Amacr	AV120110
163020	NA	AV009757
164513	Ndufa1	AV082473
154820	Dcxr	AV053696
167487	NA	AV087606
178313	Srp14	BG064895
168416	Wbscr18	AV140123
151784	Smarca2	AV085419
163286	Derl1	AV012192
184359	Gstm2	BG070501
186205	BC054822	BG072145
166902	NA	AV005775
155418	BC031181	AV057905
152625	9030221M09Rik	AV083921
165988	BC003324	AV024078
174645	Lamp1	AA239333
163910	NA	NA
155920	Myd116	AV061327
155645	NA	AV059433
169326	Ptgis	AV256013
151401	Mef2b	AV089779
152468	2410011O22Rik	AV070370
176912	NA	AW538736
165754	Sfrp2	AV021712
165606	NA	AV018850
175058	Itga5	AA499510
172978	NA	NA
188527	Wdr45l	BG074160
154858	NA	AV053939
166624	NA	AV029129
160907	NA	AV031469
189590	Rnf166	BG075037
157582	NA	AV140914
177548	Syngr1	BG064226
155342	Igf1	AV057624
169220	Pln	AV006116
157764	NA	AV161846
186888	Sorbs1	BG072736
162461	A530088I07Rik	AV002323
187447	Fbln2	BG073227
191144	1700020I14Rik	BG076352
186486	1810061M12Rik	BG072408
155643	NA	AV059445
161418	Atp6v0a1	AV033672
176304	AI464131	BG063189
164541	Gba	AV083198
189880	4833421E05Rik	BG075290
189977	Ccpg1	BG075380
166127	3732412D22Rik	AV024662
155765	1810061M12Rik	AV060180
151839	NA	AV085561
175007	Cdkn1a	AA184368
180008	Serpine2	BG066411
185010	Map4k3	BG071111
