MicroRNAs	Hazard Ratio	95% CI	p-value
hsa-mir-92a-1	1.36	1.09-1.70	0.007
hsa-mir-379	0.53	0.33-0.85	0.008
hsa-mir-373	0.64	0.44-0.92	0.016
hsa-mir-194-1	1.85	1.12-3.07	0.017
hsa-mir-92b	1.49	1.07-2.07	0.017
hsa-mir-34b	1.62	1.06-2.48	0.026
hsa-mir-20b	1.3	1.03-1.65	0.028
hsa-mir-107	1.39	1.03-1.88	0.03
hsa-mir-19a	1.3	1.02-1.66	0.032
hsa-mir-623	0.62	0.40-0.96	0.032
hsa-mir-18a	0.55	0.32-0.96	0.034
hsa-mir-106a	1.26	1.01-1.57	0.042
