HGNC symbol	Chr Band
UBE4B	1p36.22
HDAC1	1p35.1
MARCKSL1	1p35.1
UTP11L	1p34.3
DEDD	1q23.3
NIT1	1q23.3
EIF2AK2	2p22.2
FBXO11	2p16.3
MSH6	2p16.3
TIA1	2p13.3
STAMBP	2p13.1
HSPE1	2q33.1
FASTKD2	2q33.3
NDUFS1	2q33.3
BARD1	2q35
CUL3	2q36.2
PDCD10	3q26.1
ANXA5	4q27
FASTKD3	5p15.31
RASA1	5q14.3
CYFIP2	5q33.3
TNFRSF21	6p12.3
TPD52L1	6q22.31
CYCS	7p15.3
ZC3HC1	7q32.2
CASP2	7q34
CUL1	7q36.1
BAG4	8p12
STK3	8q22.2
RAD21	8q24.11
SETX	9q34.13
CDC2	10q21.2
PTEN	10q23.31
API5	11p12
DNM1L	12p11.21
B3GNT4	12q24.31
DIABLO	12q24.31
RNF34	12q24.31
ARF6	14q21.3
BUB1B	15q15.1
DNAJA3	16p13.3
APPBP1	16q22.1
TP53	17p13.1
PSMC5	17q23.3
SMARCD2	17q23.3
BIRC5	17q25.3
NUP62	19q13.33
CSE1L	20q13.13
DONSON	21q22.11
SON	21q22.11
