Subgroup	Abbreviation	Full name	Expression status	Chrom.a
t(4;11)	DAD1	Defender against apoptotic cell death 1 protein	High	14
t(4;11)	UN-141	Unknown, GenBank # AK091307	High	13
t(4;11)	KIAA1576	Unknown, GenBank # XM_038186	High	16
t(4;11)	HOXA9	Homeo box A9	High	7
t(4;11)	UN-251	Unknown, GenBank # BM800026	High	NA
t(4;11)	UN-210	Unknown, GenBank # BQ221376	High	NA
t(4;11)	MEIS1	Myeloid ecotropic viral integration site 1	High	2
t(4;11)	UN-58	Unknown, GenBank # NT_022184	Low	2
t(4;11)	ERG	ETS-related gene	Low	21
t(4;11)	CD10;CALLA	Membrane metallo-endopeptidase (MME)	Low	3
t(4;11)	UN-355	Unknown, GenBank # NT_034483	Low	2
t(4;11)	FBXW7	F-box and WD-40 domain protein 7	Low	4
NDCT	AC133;PROML1	AC133 antigen	Low	4
