Gene Symbol	CD19+ Expression	CD19- Expression
LGMN	1	2
GPRC5B	1	2
TLR5	1	1.65
BLVRA	1	1.65
OASL	1	1.65
C3AR1	1	1.65
CEB1	1	1.65
PELO	1	1.65
C1QA	1	1.5
SEPT10	1	1.8
ME1	1	1.8
MITF	1	1.3
FCGR1A	1	1.35
DHRS3	1	1.65
DUSP3	1	1.25
C17orf31	1	1.2
F8	1	1.15
SCARB2	1	1.12
HOXD8	1	1.1
NDN	1	1
C4A	1.25	1
MRVI1	1.5	1
C6orf145	1.5	1
C1QB	2	1
