No.	cDNA clone	Skin infiltration +	Skin infiltration -
440	TIMP1	78.51	3.04
56	IL2Rgamma	121.77	0.06
168	CD45	6.61	0.18
46	MCP-1	119.18	1.99
242	TCRalpha	122.5	0.09
59	HLA class IIbeta	NA	NA
387	Cathespin S	103.11	0.2
107	CD2	90.07	0.02
354	CCR7	35.78	0.06
331	IP-10	116.41	15.3
19	TCRbeta	119.05	0.12
108	CD3	109.75	0.1
194	Lipocortin 1	24.99	1.26
78	FLIP	54.13	0.44
69	MCP-2	108.47	0.2
206	IL13Ralpha	7.53	0.93
42	PCNA	9.51	0.09
309	HSP 90	66.15	1.81
243	TCRgamma	118.87	0.12
52	Beta-actin	100	100
