NormFinder1 / geNorm2	Value
hsa-mir-647	0.029
hsa-mir-890	0.029
hsa-mir-488	0.039
hsa-mir-503	0.039
hsa-mir-30c-2	0.043
hsa-mir-629	0.043
hsa-mir-208a	0.044
hsa-mir-934	0.044
hsa-mir-634	0.045
hsa-mir-885	0.045
hsa-mir-583	0.046
hsa-mir-576	0.047
hsa-mir-302d	0.047
hsa-mir-509-3	0.047
hsa-mir-220b	0.047
hsa-mir-551b	0.048
hsa-mir-423	0.048
hsa-mir-183	0.05
hsa-mir-518c	0.052
hsa-mir-197	0.053
hsa-mir-302c	0.056
hsa-let-7e	0.058
hsa-mir-933	0.059
hsa-mir-488	0.228
hsa-mir-885	0.228
hsa-mir-647	0.238
hsa-mir-503	0.248
hsa-mir-302d	0.258
hsa-mir-890	0.267
hsa-mir-208a	0.276
hsa-mir-518c	0.295
hsa-mir-583	0.301
hsa-mir-551b	0.307
hsa-mir-183	0.312
hsa-mir-30c-2	0.321
hsa-mir-302c	0.329
hsa-mir-423	0.342
hsa-mir-634	0.348
hsa-mir-934	0.354
hsa-let-7e	0.36
hsa-mir-220b	0.365
hsa-mir-576	0.369
hsa-mir-509-3	0.374
hsa-mir-933	0.378
hsa-mir-197	0.384
hsa-mir-629	0.389
