Genesymbol	Commonname	Entrezgene	Regulation
AQP10	Aquaporin10	89872	Up-regulatedgenes
CILP2	Cartilageintermediatelayerprotein2	148113	Up-regulatedgenes
CNGB1	Cyclicnucleotidegatedchannelbeta1	1258	Up-regulatedgenes
CXorf36	ChromosomeXopenreadingframe36	79742	Up-regulatedgenes
CYP1A1	CytochromeP450,family1,subfamilyA,polypeptide1	1543	Up-regulatedgenes
CYP2E1	CytochromeP450,family2,subfamilyE,polypeptide1	1571	Up-regulatedgenes
CYP7A1	CytochromeP450,family7,subfamilyA,polypeptide1	1581	Up-regulatedgenes
DKKL1	Dickkopf-like1(soggy)	27120	Up-regulatedgenes
DMRTC1	DMRT-likefamilyC1	63947	Up-regulatedgenes
DPCR1	Diffusepanbronchiolitiscriticalregion1	135656	Up-regulatedgenes
FLJ21438	HypotheticalproteinFLJ21438	64926	Up-regulatedgenes
FOLH1	Folatehydrolase(prostate-specificmembraneantigen)1	2346	Up-regulatedgenes
FOLR2	Folatereceptor2(fetal)	2350	Up-regulatedgenes
GIPR	Gastricinhibitorypolypeptidereceptor	2696	Up-regulatedgenes
GYPC	GlycophorinC(Gerbichbloodgroup)(GYPC)	2995	Up-regulatedgenes
HEMK1	HemKmethyltransferasefamilymember1	51409	Up-regulatedgenes
HIF3A	Hypoxiainduciblefactor3,alphasubunit	64344	Up-regulatedgenes
KIAA1881	KIAA1881	114782	Up-regulatedgenes
LOC387761	HypotheticalLOC387761	387761	Up-regulatedgenes
PLA2G3	PhospholipaseA2,groupIII	50487	Up-regulatedgenes
PPP1R14C	Proteinphosphatase1,regulatory(inhibitor)subunit14C	81706	Up-regulatedgenes
PSORS1C2	Psoriasissusceptibility1candidate2	170680	Up-regulatedgenes
SEMA6A	Semadomain,transmembranedomain(TM),andcytoplasmicdomain(semaphorin)6A	57556	Up-regulatedgenes
SERINC2	Serineincorporator2	347735	Up-regulatedgenes
SPRR2D	Smallproline-richprotein2D	6703	Up-regulatedgenes
TAS2R50	Tastereceptor,type2,member50	259296	Up-regulatedgenes
TCL1A	T-cellleukemia/lymphoma1A	8115	Up-regulatedgenes
TMPRSS2	Transmembraneprotease,serine2	7113	Up-regulatedgenes
TTC21B	Tetratricopeptiderepeatdomain21B	79809	Up-regulatedgenes
AK097130	cDNAFLJ39811fis,cloneSPLEN2009581	---	Down-regulatedgenes
FLJ20464	cDNAFLJ20464fis,cloneKAT06158	54944	Down-regulatedgenes
GINS4	GINScomplexsubunit4(Sld5homolog)	84296	Down-regulatedgenes
GRLF1	GlucocorticoidreceptorDNAbindingfactor1	2909	Down-regulatedgenes
IGSF11	Immunoglobulinsuperfamily,member11	152404	Down-regulatedgenes
PNMA6A	Paraneoplasticantigenlike6A	84968	Down-regulatedgenes
SMOC1	SPARCrelatedmodularcalciumbinding1	64093	Down-regulatedgenes
TMEM142B	Transmembraneprotein142B	80228	Down-regulatedgenes
UBXN7	UBXdomainprotein7	26043	Down-regulatedgenes
