Rank	miRs	SAMScore(d)
1	hsa-mir-199a-1	?2.31
2	hsa-mir-199a-2	?2.10
3	hsa-mir-141	?1.76
4	hsa-mir-139	?1.64
5	hsa-mir-125b-1	?1.63
6	hsa-mir-302d	?1.63
7	hsa-mir-125a	?1.60
8	hsa-mir-27a	?1.58
9	hsa-mir-100	?1.53
10	hsa-mir-150	?1.51
11	hsa-mir-214	?1.51
12	hsa-mir-195	?1.49
13	hsa-mir-342	?1.48
14	hsa-mir-199b	?1.42
15	hsa-mir-200b	?1.41
16	hsa-mir-145	?1.36
17	hsa-mir-199a-1	?1.34
