UNIQID	NAME	EntrezGene ID	Gene Symbol																																																																
15916	NFkB-1	330	BIRC3																																																																
17160	NFkB-1	4791	NFKB2																																																																
17500	NFkB-1	7124	TNF																																																																
17670	NFkB-1	196	AHR																																																																
17934	NFkB-1	4067	LYN																																																																
19243	NFkB-1	5996	RGS1																																																																
19337	NFkB-1	3627	CXCL10																																																																
19339	NFkB-1	1236	CCR7																																																																
22122	NFkB-1	3662	IRF4																																																																
24267	NFkB-1	598	BCL2L1																																																																
24268	NFkB-1	3383	ICAM1																																																																
24505	NFkB-1	9750	C6orf32																																																																
24507	NFkB-1	4691	NCL																																																																
24637	NFkB-1	597	BCL2A1																																																																
24750	NFkB-1	3569	IL6																																																																
24773	NFkB-1	4794	NFKBIE																																																																
25231	NFkB-1	3586	IL10																																																																
26357	NFkB-1	7185	TRAF1																																																																
26451	NFkB-1	3726	JUNB																																																																
26566	NFkB-1	10135	PBEF1																																																																
26941	NFkB-1	5341	PLEK																																																																
27078	NFkB-1	1880	EBI2																																																																
27384	NFkB-1	8837	CFLAR																																																																
27399	NFkB-1	958	CD40																																																																
28070	NFkB-1	6595	SMARCA2																																																																
28467	NFkB-1	10148	EBI3																																																																
28585	NFkB-1	4790	NFKB1																																																																
28599	NFkB-1	3659	IRF1																																																																
28684	NFkB-1	960	CD44																																																																
28695	NFkB-1	9516	LITAF																																																																
28926	NFkB-1	5971	RELB																																																																
29574	NFkB-1	4688	NCF2																																																																
29735	NFkB-1	3398	ID2																																																																
30468	NFkB-1	6351	CCL4																																																																
32010	NFkB-1	10125	RASGRP1																																																																
32614	NFkB-1	6772	STAT1																																																																
32776	NFkB-1	11064	CEP110																																																																
32928	NFkB-1	114614	BIC																																																																
34761	NFkB-1	7128	TNFAIP3																																																																
34886	NFkB-1	4792	NFKBIA																																																																
15916	NFkB-1	330	BIRC3																																																																
17160	NFkB-1	4791	NFKB2																																																																
17500	NFkB-1	7124	TNF																																																																
17670	NFkB-1	196	AHR																																																																
17934	NFkB-1	4067	LYN																																																																
19243	NFkB-1	5996	RGS1																																																																
19337	NFkB-1	3627	CXCL10																																																																
