ID	Symbol	Name	Synonyms	Chromosome
4982	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	MGC29565|OCIF|OPG|TR1	8
8743	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	APO2L|Apo-2L|CD253|TL2|TRAIL	3
8600	TNFSF11	tumor necrosis factor (ligand) superfamily, member 11	CD254|ODF|OPGL|OPTB2|RANKL|TRANCE|hRANKL2|sOdf	13
8742	TNFSF12	tumor necrosis factor (ligand) superfamily, member 12	APO3L|DR3LG|MGC129581|MGC20669|TWEAK	17
8741	TNFSF13	tumor necrosis factor (ligand) superfamily, member 13	APRIL|CD256|TALL2|TRDL-1|UNQ383/PRO715|ligand	17
10673	TNFSF13B	tumor necrosis factor (ligand) superfamily, member 13b	BAFF|BLYS|CD257|DTL|TALL-1|TALL1|THANK|TNFSF20|ZTNF4	13
8740	TNFSF14	tumor necrosis factor (ligand) superfamily, member 14	CD258|HVEML|LIGHT|LTg|TR2	19
9966	TNFSF15	tumor necrosis factor (ligand) superfamily, member 15	MGC129934|MGC129935|TL1|TL1A|VEGI|VEGI192A	9
8995	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	AITRL|GITRL|MGC138237|TL6|hGITRL	1
7292	TNFSF4	tumor necrosis factor (ligand) superfamily, member 4	CD134L|CD252|GP34|OX-40L|OX4OL|TXGP1	1
944	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	CD153|CD30L|CD30LG|MGC138144	9
8744	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	4-1BB-L|CD137L	19
