Gene Symbol	Expression
POSTN	Up-Regulated
SPP1	Up-Regulated
BMP2	Up-Regulated
BMPR2	Up-Regulated
POSTN	No expression
BMP6	Up-Regulated
BST1	No expression
SPP1	No expression
PRG2	Up-Regulated
BMP8B	Down-Regulated
BMP7	No expression
BMPR2	No expression
BMP1	No expression
BMP1	Up-Regulated
OTP	No expression
BMP1	Up-Regulated
BMP1	No expression
BMP10	No expression
BMP15	No expression
BMPR1B	Down-Regulated
BMP7	Down-Regulated
BMPR2	Down-Regulated
BMP6	No expression
BMP6	Down-Regulated
BMP1	No expression
BMP7	No expression
BMP1	Down-Regulated
BMP8A	No expression
ALPL	No expression
BMP8A	Down-Regulated
ALPL	Up-Regulated
BMP8A	Down-Regulated
BMP8B	Down-Regulated
IBSP	No expression
BMP3	Down-Regulated
BMP1	Down-Regulated
MEPE	Down-Regulated
IBSP	Down-Regulated
UBL7	Up-Regulated
BMPR2	Down-Regulated
BMP2	Up-Regulated
BGLAP	Down-Regulated
BMP8B	Down-Regulated
OTP	Down-Regulated
BMPR1A	Up-Regulated
BMP4	Down-Regulated
BMPR2	Down-Regulated
BMP7	Up-Regulated
BMPR1A	Down-Regulated
BST2	Down-Regulated
BMP5	Down-Regulated
BMP5	Down-Regulated
