HGNC symbol	Chr Band
TNFRSF14	1p36.32
UBE4B	1p36.22
HDAC1	1p35.1
MARCKSL1	1p35.1
RRAGC	1p34.3
UTP11L	1p34.3
FAF1	1p33
DEDD	1q23.3
NIT1	1q23.3
SLAMF7	1q23.3
EIF2AK2	2p22.2
FBXO11	2p16.3
MSH6	2p16.3
RTN4	2p16.1
TIA1	2p13.3
STAMBP	2p13.1
ALS2CR12	2q33.1
CASP8	2q33.1
HSPE1	2q33.1
FASTKD2	2q33.3
NDUFS1	2q33.3
BARD1	2q35
IL8RB	2q35
CUL3	2q36.2
AXUD1	3p22.2
GPX1	3p21.31
RHOA	3p21.31
RYBP	3p13
RNF7	3q23
PDCD10	3q26.1
BCL6	3q27.3
ANXA5	4q27
FASTKD3	5p15.31
PRKAA1	5p13.1
XRCC4	5q14.2
RASA1	5q14.3
HDAC3	5q31.3
CYFIP2	5q33.3
RNF130	5q35.3
TNFRSF21	6p12.3
FOXO3	6q21
TPD52L1	6q22.31
CYCS	7p15.3
FIS1	7q22.1
ZC3HC1	7q32.2
CASP2	7q34
CUL1	7q36.1
DNAJB6	7q36.3
BAG4	8p12
STK3	8q22.2
RAD21	8q24.11
SETX	9q34.13
CDC2	10q21.2
PTEN	10q23.31
PTENP1	10q23.31
TCTN3	10q24.1
HTATIP2	11p15.1
API5	11p12
BAD	11q13.1
BIRC3	11q22.2
DNM1L	12p11.21
B3GNT4	12q24.31
DIABLO	12q24.31
RNF34	12q24.31
TPT1	13q14.13
ITM2B	13q14.2
ACIN1	14q11.2
ARF6	14q21.3
GPR65	14q31.3
BUB1B	15q15.1
DNAJA3	16p13.3
CLN3	16p11.2
APPBP1	16q22.1
P2RX1	17p13.2
TNFSF12	17p13.1
TNFSF13	17p13.1
TP53	17p13.1
PSMC5	17q23.3
SMARCD2	17q23.3
BIRC5	17q25.3
SOCS3	17q25.3
PIK3R2	19p13.11
PLEKHF1	19q12
DEDD2	19q13.2
NUP62	19q13.33
CD40	20q13.12
SERINC3	20q13.12
CSE1L	20q13.13
DONSON	21q22.11
SON	21q22.11
BID	22q11.21
DGCR6	22q11.21
DGCR6L	22q11.21
PRODH	22q11.21
BIK	22q13.2
TSC22D3	Xq22.3
ARHGEF6	Xq26.3
