Rank	miRs	SAMScore(d)
1	hsa-mir-222	2.22
2	hsa-mir-301a	2.2
3	hsa-mir-320a	1.96
4	hsa-mir-25	1.91
5	hsa-mir-190	1.81
6	hsa-mir-219-1	1.79
7	hsa-mir-331	1.77
8	hsa-mir-105-1	1.76
9	hsa-mir-182	1.76
10	hsa-mir-9-1	1.74
11	hsa-mir-330	1.67
12	hsa-mir-193a	1.65
13	hsa-mir-183	1.62
14	hsa-mir-185	1.6
15	hsa-mir-191	1.6
16	hsa-mir-182	1.6
17	hsa-mir-21	1.53
18	hsa-mir-374a	1.44
19	hsa-mir-96	1.42
20	hsa-mir-216a	1.42
21	hsa-mir-34c	1.3
22	hsa-mir-224	1.3
23	hsa-mir-184	1.23
