Probe ID	Gene Symbol
216598_s_at	CCL2
201669_s_at	MARKS
212063_at	CD44
207328_at	ALOX15
201888_s_at	IL13RA1
221524_s_at	RRAGD
206975_at	LTA
207191_s_at	ISLR
206760_s_at	FCER2
211734_s_at	FCER1A
209524_at	HDGFRP3
205819_at	MARCO
221558_s_at	LEF1
211517_s_at	IL5RA
212560_at	C11orf32
202391_at	BASP1
206759_at	FCER2
217963_s_at	NGFRAP1
203853_s_at	GAB2
210108_at	CACNA1D
216080_s_at	FADS3
204550_x_at	GSTM1
211898_s_at	EPHB1
2210112_at	FLJ11795
204086_at	PRAME
215333_x_at	GSTM1
202133_at	WWTR1
210177_at	TRIM15
219288_at	C3orf14
208334_at	NDST4
206756_at	CHST7
209644_x_at	CDKN2A
206307_s_at	FOXD1
218596_at	TBC1D13
204114_at	NID2
206524_at	T
210904_s_at	IL13RA1
206698_at	XK
218450_at	HEBP1
204418_x_at	GSTM2
36742_at	TRIM15
220759_at	FAM12B
205354_at	GAMT
201887_at	IL13RA1
219772_s_at	SMPX
204489_s_at	CD44
201841_s_at	HSPB1
209784_s_at	JAG2
210517_s_at	AKAP12
210744_s_at	IL5RA
