Category/function	Affymetrix no.	Accession no.	Gene title	Gene symbol	6 h; Number of compounds that down-regulated genes	24 h; Number of compounds that down-regulated genes
Transport	205196_s_at	NM_001283	Adaptor-related protein complex 1, sigma 1 subunit	AP1S1	0	7
Transport	202497_x_at	AI631159	Solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	6	11
Transport	202498_s_at	BE550486	Solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	6	4
Transport	202499_s_at	NM_006931	Solute carrier family 2 (facilitated glucose transporter), member 3	SLC2A3	6	12
Transport	216236_s_at	AL110298	Solute carrier family 2 (facilitated glucose transporter), member 14	SLC2A14	8	11
Transport	222088_s_at	AA778684	Solute carrier family 2 (facilitated glucose transporter), member 14	SLC2A14	4	11
Cell cycle, proliferation, death	201631_s_at	NM_003897	Immediate early response 3	IER3	6	3
Cell cycle, proliferation, death	204602_at	NM_012242	Dickkopf homolog 1 (Xenopus laevis)	DKK1	2	6
Miscellaneous	205547_s_at	NM_003186	Transgelin	TAGLN	2	7
Miscellaneous	204326_x_at	NM_002450	Metallothionein 1X	MT1X	0	6
Miscellaneous	218995_s_at	NM_001955	Endothelin 1	EDN1	6	0
Unknown/EST	213349_at	AI934469	KIAA0779 protein	KIAA0779	0	8
