UUID1	UUID2	Interaction confidence
RPS25	RPL6	0.997
RPL6	RPL24	0.996
RPS25	RPL24	0.989
RPL36A	RPL7	0.974
RPL7	RPL6	0.969
RPL36A	RPL6	0.968
RPS25	RPL7	0.965
RPL36A	RPS25	0.961
RPL7	RPL24	0.961
RPL36A	RPL24	0.926
UBA52	RPL7	0.875
PPBP	S100A12	0.871
UBA52	RPS25	0.861
CAMP	S100A12	0.837
AIF1	GMFG	0.836
LTF	LCN2	0.836
UBA52	RPL6	0.831
LTF	CAMP	0.808
SOCS3	LIF	0.802
CAMP	LCN2	0.800
S100A12	LCN2	0.773
UBA52	RPL24	0.771
LTF	S100A12	0.769
TXN	SUB1	0.763
RPL6	SUB1	0.759
RPS25	TOMM7	0.756
SNRPE	SUB1	0.755
SOCS3	S100A12	0.746
AIF1	CASP5	0.736
CSTA	GMFG	0.735
PPBP	LCN2	0.728
TOMM7	RPL6	0.728
DEFA1	S100A12	0.723
SNRPE	RPL6	0.721
CAMP	DEFA1	0.719
AIF1	S100A12	0.717
CSTA	S100A12	0.711
CASP5	CAMP	0.708
ATP5E	TOMM7	0.705
AIF1	SOCS3	0.683
RPL36A	UBA52	0.681
TOMM7	RPL24	0.658
PLCB3	SOCS3	0.657
AIF1	LTF	0.648
TNFSF14	SOCS3	0.608
AIF1	RGS2	0.564
SOCS3	EHD2	0.548
USP10	RALBP1	0.534
