ID	Symbol	Name	Synonyms	Chromosome
3446	IFNA10	interferon, alpha 10	MGC119878|MGC119879	9
3447	IFNA13	interferon, alpha 13	-	9
3448	IFNA14	interferon, alpha 14	LEIF2H|MGC125756|MGC125757	9
3449	IFNA16	interferon, alpha 16	-	9
3451	IFNA17	interferon, alpha 17	IFNA|INFA|LEIF2C1	9
3440	IFNA2	interferon, alpha 2	IFNA|INFA2|MGC125764|MGC125765	9
3452	IFNA21	interferon, alpha 21	MGC126687|MGC126689	9
3441	IFNA4	interferon, alpha 4	INFA4|MGC142200	9
3442	IFNA5	interferon, alpha 5	INFA5	9
3443	IFNA6	interferon, alpha 6	-	9
3444	IFNA7	interferon, alpha 7	IFNA-J	9
3445	IFNA8	interferon, alpha 8	-	9
3456	IFNB1	interferon, beta 1, fibroblast	IFB|IFF|IFNB|MGC96956	9
338376	IFNE	interferon, epsilon	IFN-E|IFNE1|IFNT1|MGC119018|MGC119020|PRO655	9
3458	IFNG	interferon, gamma	IFG|IFI	12
56832	IFNK	interferon, kappa	RP11-27J8.1	9
3467	IFNW1	interferon, omega 1	-	9
