Gene Symbol	Gene name	Ratio (T/C)
Fos	V-fos FBJ murine osteosarcoma viral oncogene homolog	5.56
C1qtnf1	G protein coupled receptor interacting protein	2.17
Junb	Jun B proto-oncogene	5.26
Tp53bp1	Tumor protein p53-binding protein	6.25
Srgap2	KIAA0456 protein	3.85
Tdp2	TRAF and TNF receptor-associated protein	2
Rhoc	Ras homolog gene family, member C ras	2.04
Terf2	Telomeric repeat binding factor 2	2.13
Grb7	Growth factor receptor-bound protein 7	9.09
Pea15	Homolog of mouse MAT-1 oncogene	2.7
Anxa10	Annexin A10	2.43
Fgfr4	Fibroblast growth factor receptor 4	3.03
Smg1	PI-3-kinase-related kinase SMG-1	2
Rab5c	RAB5C	0.33
G3bp2	Ras-GTPase activating protein SH3 domain-binding protein 2 Ras-GTPase	0.48
