Gene Name	Clone ID
Unknown	295985
Unknown	1356703
c-myc	NA
Similar to ubiquitin carrier protein E2	1356581
pLK=homologue of Drosophila polo serine/threonine kinase	511794
aurora/IPL1-related kinase	NA
Unknown	1287328
FLAP endonuclease-1	NA
CDK-Activating kinase assembly factor MAT1	NA
TTK dual specificity kinase	730402
CENP-E	727526
Cyclin A	683154
guanosine 5-monophosphate synthase	123498
CENP-F kinetochore protein	202961
replication factor C	826594
Mitotic kinesin-like protein-1	1371986
KIAA0175	NA
PCNA	NA
Glycyl tRNA synthetase	471164
CHK1	246524
ckshs2	NA
40 kDa protein kinase related to rat ERK2	471227
p55CDC	754999
