microRNAs	Hazard Ratio	95% CI	p-value
hsa-mir-564	0.25	0.08-0.72	0.01
hsa-mir-107	1.55	1.10-2.18	0.011
hsa-mir-206	0.49	0.28-0.86	0.012
hsa-mir-92b	1.72	2.00-2.69	0.018
hsa-mir-103-1	1.46	1.05-2.03	0.026
hsa-mir-34b	1.77	1.07-2.94	0.027
hsa-mir-34c	2.19	1.07-4.49	0.032
hsa-mir-449a	3	1.07-8.38	0.036
hsa-mir-198	0.39	0.16-0.97	0.042
hsa-mir-98	1.25	1.01-1.55	0.045
hsa-mir-222	1.66	1.00-2.77	0.049
