Gene symbol	Locus link ID	p-Value	Kinase activity	Function
LCK	3932	0	TK	Intracellular signaling cascade; cell cycle
BLK	640	0	TK	Intracellular signaling cascade
CSK	1445	0	TK	Intracellular signaling cascade; cell cycle
LYN	4067	0	TK	Intracellular signaling cascade
SCAP1	8631	0	TK	Signal transduction
FGR	2268	0	TK	Intracellular signaling cascade
MAP2K4	6416	0	S/TRK	JNK cascade; signal transduction
MAP3K1	4214	0	S/TRK	Protein aa phosphorylation
MAP3K2	10746	0	S/TRK	JNK cascade
MAP3K8	1326	0.0004	S/TRK	Protein aa phosphorylation
MAP3K9	4293	0	S/TRK and TK	Activation JNK activity; protein aa autophosphorylation
MAP3K14	9020	0	S/TRK	Protein aa phosphorylation
MAP4K1	11184	0	S/TRK	JNK and MAPK cascade
JAK1	3716	0	TK	Intracellular signaling cascade; cell cycle
JAK2	3717	0	TK	Intracellular signaling cascade; cell cycle
TYK2	7297	0	Janus K	Intracellular signaling cascade
JAK3	3718	9.08E-06	TK	Intracellular signaling cascade
PRKCB1	5579	0	S/TRK	Intracellular signaling cascade
PRKD3	23683	0	S/TRK	Intracellular signaling cascade
CLK2	1196	0	S/TRK and TK	Protein aa phosphorylation; spliceosome
CLK4	57396	4.33E-08	S/TRK and TK	Protein aa phosphorylation; spliceosome
NEK3	4752	0	S/TRK and TK	Cell cycle regulation
NEK8	284086	0	S/TRK and TK	Cell cycle regulation
DYRK1B	9149	0	S/TRK and TK	Regulation of transcription
DYRK4	8798	0	S/TRK and TK	Protein aa phosphorylation
CDK10	8558	0	S/TRK	Cell cycle regulation
CASK	8573	0	S/TRK	Cell adhesion
MINK1	50488	0	S/TRK	JNK cascade
RPS6KA3	6197	0	S/TRK	Signal transduction
RIPK3	11035	0	S/TRK	Regulation of apoptosis
CAMK2D	817	0	S/TRK	Protein aa phosphorylation
ROR1	4919	0	TK	Signal transduction
SYK	6850	0	TK	Intracellular signaling cascade
DKFZp761P0423	157285	0	TK	Protein aa phosphorylation
STK17A	9263	2.57E-10	S/TRK	Induction of apoptosis
PIM2	11040	0	S/TRK	Cell proliferation
PFTK1	5218	0	S/TRK	Nucleotide binding protein
CDC2L5	8621	0	S/TRK	Cell cycle regulation
TLK1	9874	0	S/TRK	Chromatin modification
CRKRS	51755	2.61E-09	S/TRK	Protein aa autophosphorylation
PASK	23178	2.68E-10	S/TRK	Signal transduction
PDPK1	5170	0	S/TRK	Protein aa phosphorylation
BMPR2	659	0	S/TRK	Signal transduction
CSNK1G3	1456	0	S/TRK	Signal transduction
ADRBK2	157	0	S/TRK and TK	Signal transduction
UHMK1	127933	0	S/TRK	Protein aa autophosphorylation
CDKL1	8814	0	S/TRK	Cell cycle regulation
STK10	6793	0	S/TRK	Protein aa phosphorylation
STK25	10494	0	S/TRK	Signal transduction; response to oxidative stress
WEE1	7465	2.86E-06	S/TRK and TK	Cell cycle regulation
STK4	6789	0	S/TRK and TK	Regulation of apoptosis
GRK6	2870	0	S/TRK and TK	Signal transduction
SRPK2	6733	0	S/TRK and TK	Protein kinase cascade
Unknown	---	0	Unknown	Unknown
Unknown	---	0	Unknown	Unknown
Unknown	---	0	Unknown	Unknown
