LUID	Gene Names	GenBank Accession Numbers
151798	Ptpn12	AV085310
159403	Tpm1	AV088719
155272	Tpm2	AV057120
186065	Arntl	BG072020
186742	NA	AW546201
155267	NA	AV057100
185883	9230106L14Rik	BG071853
151776	2410005O16Rik	AV085399
167316	NA	AV087036
174336	BC021395	AA822676
166985	NA	AV006019
178406	Galnt10	BG064979
177962	Dhrs1	BG064575
151740	2310010I16Rik	AV085188
619601	Pdlim7	AI120412
169664	Foxq1	AV076517
184349	S100a6	BG070491
164130	Rab11b	AV074655
172448	Ablim1	AI841359
177936	Sypl	BG064554
186734	Tgfb1i4	BG072602
164280	2210403K04Rik	AV078312
188287	NA	AW551937
164709	Numb	AV083536
177552	Atp8b2	BG064229
177721	Zc3hdc7	BG064380
175305	Ccl4	AA178155
161536	Stat2	AV034531
189026	Prkx	BG074563
169834	NA	AV114438
174654	Nfkb1	AA388801
185296	6330412C24Rik	BG071351
162816	1110004P15Rik	AV007503
191039	NA	BG076266
152691	NA	AV089188
170648	NA	AV153393
171399	1110021H02Rik	AA096844
188036	Psme1	BG073636
168064	1500011L16Rik	AV133667
177814	NA	BG064454
190060	Nfia	BG075455
170109	NA	AV051945
186320	Dp1	BG072251
182388	NA	AU023385
151474	Pafah1b3	AV090194
183398	0610025L06Rik	BG069592
172578	Tegt	AI851027
159645	Rbx1	AV093714
169807	Xrcc5	AV095306
163280	Fyn	AV011711
152877	NA	AV107489
171226	Serpinh1	AA041771
188030	2610001J05Rik	BG073633
168975	Cacnb3	AV150856
179759	Slc9a3r1	BG066200
190211	Apeg1	BG075580
155222	Idb3	AV056842
184836	D4Wsu53e	BG070858
160174	Tmsb10	AV095227
173362	NA	NA
182590	Ddah2	BG068814
187142	Cacnb3	BG072964
164185	Cyb5	AV077886
188043	Ssh1	BG073643
178779	Marcks	BG065334
168128	Cald1	AV133784
152610	Cdkn2b	AV083695
155924	Sdf2	AV061156
162761	Csrp2	AV007090
162702	Lmna	AV006486
178994	Bmp4	BG065526
162741	Ssr3	AV006788
176471	Rab18	BG063329
174658	Mmp11	AA285963
168621	Ngfrap1	AV140540
155085	1200020A08Rik	AV055732
165508	Pcdhga12	AV017680
178031	Srp9	BG064633
160408	NA	AV103348
163957	D11Moh35	AV073766
189676	Stx5a	BG075109
177173	5730557L09Rik	BG063906
183397	0610025L06Rik	BG069591
179604	Pik3r3	BG066066
172463	Zfp367	AI841377
166753	5430428G01Rik	AV029732
619393	NA	AF255774
165216	Cald1	AV086610
162795	NA	AV007130
170739	Ctf1	AI325328
155008	1810034K20Rik	AV055257
168986	NA	AV153125
153471	Rnf7	AV042026
174561	Il5ra	AA390052
160500	1110030J09Rik	AV103649
185829	Ppp1cc	BG071790
152007	Glt28d1	AV063994
180644	1110060O18Rik	BG066989
152565	1810017G16Rik	AV070773
154583	Lsm10	AV051331
165107	Hint2	AV086236
157237	NA	AV113740
157353	2610029I01Rik	AV114140
177156	Fbxo6b	BG063892
168297	Pfdn5	AV134210
155682	1810059G22Rik	AV059590
152310	NA	AV069744
166605	Rit1	AV029124
158060	2810052M02Rik	AV171933
168030	Fibp	AV133603
164425	NA	NA
166777	1500009C09Rik	AV029818
163135	Sdf4	AV010739
176454	2410016F01Rik	BG063313
168438	Tpm2	AV140164
619177	NA	NA
171635	Slc25a10	AA199557
171323	Pitpn	AA119197
189545	Pcsk7	BG075003
154990	Pold4	AV055152
190746	Anxa7	BG076013
163321	NA	AV012373
164867	Rtn4	AV084219
170113	Stom	AV054558
161851	Anxa1	AV037865
154253	NA	AV048299
167219	NA	AV006307
154376	Tm4sf1	AV049772
189040	Cald1	AW553642
182691	Lpp	BG068912
175252	AI875142	AA833262
155368	Dusp22	AV057778
170072	Gfpt1	AV042071
185325	Tm4sf1	AU040956
180229	Rnaset2	BG066529
167598	Klf13	AV087896
171874	Emp1	AI838613
619089	NA	NA
619310	2300006M17Rik	C78378
162060	Ilk	AV039588
174376	Snap23	AW989643
154654	Sh3bgrl3	AV052242
168604	Tmsb4x	AV140495
165683	2900073G15Rik	AV020423
164651	Creb3	AV083512
155335	Tpm1	AV057639
167099	Ilk	AV006158
169480	Tuba1	AV001566
166949	NA	AV006041
166613	D2Bwg0891e	AV029112
168002	Vim	AV123111
171882	Cald1	AI838633
165499	Cryab	AV017584
175212	Adcy9	AA529041
177469	Anxa5	BG064165
159377	2300006M17Rik	AV088544
169637	Scap2	AV064046
167055	NA	AV006124
158039	Cst3	AV171864
185292	Stard3nl	BG071347
168443	Set	AV140166
172587	AI314180	AI851039
169856	Fxr1h	AV114742
187905	Olfml3	BG073711
177811	Lrp10	BG064451
619144	NA	NA
171712	Bet1l	AI836964
167432	Gopc	AV087343
161206	NA	AV032714
155214	H47	AV056815
155157	Unc50	AV056404
161921	Cd9	AV038470
187154	Mef2a	BG072973
161695	Sara1	AV036474
178301	Arl1	BG064883
155404	Gba2	AV057898
151155	NA	AV081086
161790	NA	AV037303
155704	NA	AV059754
169794	NA	AV112708
171850	Rg9mtd1	AI838568
157583	2310008M10Rik	AV140878
172114	Selk	AI839834
167792	Ube1dc1	AV109653
163644	Fgfr1	AV015249
167728	Tmsb4x	AV109316
174760	Snap23	AW989643
163776	Ablim1	AV016274
177608	Rtn4	BG064276
175448	CACNA1B	AA776162
164771	2310004K06Rik	AV083988
182638	Vdp	BG068860
179609	Pgm3	BG066070
180521	Lpp	BG066879
183094	Acbd3	BG069297
154369	2310004K06Rik	AV049663
189217	Arf4	BG074733
155586	Cst3	AV059177
163914	NA	NA
165039	2310016C16Rik	AV085920
152814	Rsad2	AV090215
163563	Rgs3	AV014454
178408	Nfkbia	BG064981
152816	2310042E22Rik	AV090139
163673	NA	AV015233
189296	Dncic2	BG074802
169631	NA	AV063933
186164	Mbnl2	BG072107
166530	2900073G15Rik	AV028783
177712	Gale	BG064371
170123	Marco	AV053328
152284	NA	AV067418
168721	Rab6	AV150017
173164	NA	NA
152622	1110020C13Rik	AV071424
174632	S100a4	AA214943
151212	NA	AV081625
167126	Cst3	AV006203
189449	D8Wsu49e	BG074924
182864	AU024582	BG069075
185244	Xbp1	BG071303
157653	Rsu1	AV141396
167684	Cdc42	AV109305
161525	NA	AV034332
151601	Antxr1	AV084784
185089	0610011I04Rik	BG071182
164261	Crot	AV078063
178461	Cltc	BG065029
151918	2310075E07Rik	AV085741
155247	NA	AV057158
184409	Snap23	BG070549
184868	Wdr26	BG070976
619979	Cdkn1b	BE554609
167352	NA	AV087138
164652	Cited2	AV083541
183199	1110030H10Rik	BG069475
619895	Stfa1	M92417
153380	NA	AV041447
