Gene Symbol	CD19+ Expression	CD19- Expression
ATP8B2	1	2
C9orf52	1	2
ITK	1	2
LEF1	1	2
FLT3LG	1	2
TNFRSF25	1	2
CD8B1	1	2
CD7	1	2
TBC1D4	1	2
BIN2	1	2
STAT4	1	2
LOC340061	1	2
GALNT12	1	2
SEMA4C	1	2
KIAA1128	1	1.65
TNFSF12	1	2
HOXB2	1	2
RAB27A	1	2
C1RL	1	1.8
5289004	1	2
IL7R	1	2
ACTN1	1	2
GNAQ	1	2
LGALS2	1	2
TNFRSF1B	1	2
KIAA1450	1	2
HCST	1	2
DKFZP566G1424	1	2
RALGDS	1	2
FLNA	1	1.65
C6orf37	1	2
INPP1	1	2
TEAD1	1	1.65
DKFZp761D1624	1	1.65
SKI	1	1.8
DDEF2	1	1.5
NFIC	1	1.5
SEPW1	1	1.3
JAM3	1	1.3
FLJ32274	1	1.3
TNFSF13B	1	1.3
TMEPAI	1	1
PTRF	1	1
