Category	Gene Name	GenBank accession
Extracellular matrix and cytoskeleton	Fibronectin	X02761; K00799; K02273
Extracellular matrix and cytoskeleton	Tubulin alpha 1 subunit	K00558
Extracellular matrix and cytoskeleton	Matrix metalloproteinase 14	D26512; X83535
Extracellular matrix and cytoskeleton	Osteonectin; SPARC	J03040
DNA damage repair protein	UV excision repair protein; RAD23A	D21235
DNA damage repair protein	Ubiquitin-conjugating enzyme E2	M74524
Trafficking protein	Neutrophil gelatinase-associated lipocalin precursor lipocalin 2	X99133
Trafficking protein	TRAM protein	X63679
Trafficking protein	ADP/ATP carrier protein	J02683
Transcription factor	High mobility group protein	M23619
Growth factor	Insulin-stimulated protein kinase 1	U08316
GTP binding protein	Transforming protein rhoA H12	L25080
IFN response	Interferon gamma antagonist	A25270
Cytokines	Macrophage inhibitory cytokine 1	AF019770
